SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlamydiae|c__Chlamydiia,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes
MH0062,0.0,0.0,0.0,3.2520999999999995,0.0,28.768900000000006,0.0,0.0,0.0,0.0,0.0,0.00644,0.01226,57.48081000000002,0.18526999999999996,6.5117199999999995,0.31251999999999996,0.0,2.6743,0.6600100000000001,0.0,0.12678,0.0,0.0,0.0,0.0,0.0,0.008870000000000001
MH0063,0.18231999999999998,0.0,0.0,0.54991,0.0,37.40213,0.0,0.04033,0.0,0.0,0.0,0.03218,0.07302,58.09351,0.9863399999999999,1.9422600000000003,0.0,0.0,0.38641,0.06357,0.0,0.0,0.24806,0.0,0.0,0.0,0.0,0.0
MH0064,0.0,0.0,0.02014,0.6442000000000001,0.0,62.57069999999999,0.00827,0.0,0.0,0.0,0.0,0.02738,0.12983,25.527779999999996,0.01817,9.00067,0.0,0.0,1.1461800000000002,0.22349999999999998,0.0,0.04196999999999999,0.0,0.0,0.0,0.6402399999999999,0.0,0.00095
MH0065,1.2384600000000001,0.01153,0.007370000000000001,0.35848,0.01344,42.51638999999999,0.03628,0.0,0.0,0.0,0.0,0.06408,0.10152000000000001,52.78350999999999,1.22722,0.46463,0.0,0.0,1.09398,0.0161,0.0,0.02778,0.0,0.0,0.0,0.03927,0.0,0.0
MH0066,0.16828,0.0,0.0,4.35487,0.0,45.883019999999995,0.0,0.0,0.0,0.0,0.0,0.047439999999999996,0.00571,45.76162,0.034629999999999994,0.08528,0.0,0.0,0.60072,0.59254,0.0,0.03681,0.0,0.0,0.0,2.42909,0.0,0.0
MH0067,0.0,0.0,0.00527,1.00452,0.0,60.51661999999999,0.08651,0.0,0.0,0.0,0.0,0.00573,0.033530000000000004,30.83712,0.0346,4.570939999999999,0.0,0.0,2.47908,0.3154,0.0,0.0,0.0,0.0,0.0,0.11026,0.0,0.00041
MH0068,0.0,0.0,0.0,1.17024,0.0,48.9224,0.0,0.0,0.0,0.0,0.0,0.009729999999999999,0.04747,37.65089000000001,0.8688100000000001,9.27667,0.0,0.0,0.46939000000000003,1.03782,0.0,0.22716,0.0,0.0,0.0,0.31456999999999996,0.00487,0.0
MH0069,0.0,0.0,0.00315,3.7605399999999998,0.003,22.98563,0.00517,0.0,0.0,0.0,0.0,0.00685,0.0507,72.11257,0.28729,0.08798,0.0,0.0,0.32437,0.36211,0.0,0.01067,0.0,0.0,0.0,0.0,0.0,0.0
MH0070,0.1329,0.00389,0.0,0.6702400000000001,0.0,33.516119999999994,0.02447,0.02053,0.0,0.0,0.0,0.02162,0.4147,61.50828000000001,0.02801,1.7724199999999999,0.0,0.0,1.1109699999999998,0.5005299999999999,0.0,0.14084,0.0,0.0,0.0,0.13446,0.0,0.0
MH0071,0.12814,0.0,0.0,2.40427,0.0,41.00752000000001,0.0,0.013680000000000001,0.0,0.0,0.005529999999999999,0.007240000000000001,0.19353999999999996,52.44892999999999,0.07312,0.09586,0.0,0.0,0.35586,0.36351999999999995,0.0,0.82722,0.0,0.0,0.0,2.07555,0.0,0.0
MH0072,0.0,0.0,0.01183,0.9275100000000001,0.0,31.145410000000002,0.01942,0.08753999999999999,0.0,0.0,0.0,0.01286,0.55459,53.541,0.040459999999999996,9.600950000000003,0.00748,0.0,0.15598,0.0,0.0,3.89496,0.0,0.0,0.0,0.0,0.0,0.0
MH0073,0.0,0.0,0.0,1.1210499999999999,0.0,39.11253000000002,0.09593,0.03828,0.0,0.0,0.0,0.0,0.9371099999999999,42.41448,0.8814500000000002,9.150590000000001,0.015040000000000001,0.01085,2.26274,0.05285,0.00298,3.8758100000000013,0.0,0.0,0.0,0.02307,0.0,0.00528
MH0074,0.0,0.0,0.045919999999999996,1.3043600000000002,0.0,65.07895,0.0,0.00231,0.0,0.0,0.0,0.0111,0.030330000000000003,23.379499999999997,0.28254,7.500350000000001,0.0,0.0,2.1969200000000004,0.0,0.0,0.12359,0.0,0.0,0.0,0.04413,0.0,0.0
MH0075,0.14823999999999998,0.0,0.0,1.04168,0.0,26.014309999999995,0.007640000000000001,0.0,0.0,0.0,0.0,0.02531,0.01658,69.1911,0.04045,0.7779100000000001,0.0,0.0,1.95926,0.06470000000000001,0.0,0.23370000000000002,0.0,0.0,0.0,0.47913999999999995,0.0,0.0
MH0076,0.0,0.0,0.0,0.91798,0.0,50.198250000000016,0.0187,0.0,0.0,0.0,0.0,0.0,1.10959,47.02851,0.053270000000000005,0.14103,0.0,0.0,0.23256,0.030780000000000002,0.0366,0.20121,0.0,0.0,0.0,0.03155,0.0,0.0
MH0077,0.051660000000000005,0.0,0.00656,0.8960600000000001,0.0,37.272450000000006,0.0,0.01097,0.0,0.0,0.007409999999999999,0.01941,0.12931,51.25309,0.3946700000000001,8.34749,0.0,0.0,1.46146,0.12830999999999998,0.0,0.02117,0.0,0.0,0.0,0.0,0.0,0.0
MH0078,0.021900000000000003,0.0,0.0,0.33397,0.0,60.62356,0.0,0.0,0.0,0.0,0.0,0.0,0.94678,29.41543,1.10084,5.94983,0.0,0.0,0.6767,0.0,0.0,0.92821,0.0,0.0,0.0,0.0,0.0,0.0028
MH0079,1.93665,0.0,0.0,0.20347,0.0,43.79796999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.85713,0.41211000000000003,0.0686,0.0,0.0,0.31625000000000003,0.5492,0.0,4.85862,0.0,0.0,0.0,0.0,0.0,0.0
MH0080,0.0,0.0,0.00838,0.18743,0.0,39.67136,0.0,0.0,0.0,0.0,0.0,0.00911,0.05649,56.38044999999999,0.23711999999999997,2.8391,0.0,0.0,0.32352000000000003,0.18443,0.0,0.018150000000000003,0.0,0.0,0.0,0.08442000000000001,0.0,0.0
MH0081,0.32971999999999996,0.00511,0.013059999999999999,0.6436199999999999,0.0,49.54269000000001,0.01072,0.0,0.0,0.0,0.0,0.0213,0.004790000000000001,38.33913999999999,1.8259800000000002,7.254420000000001,0.00372,0.0,1.4492399999999999,0.45222,0.0,0.04775,0.0,0.0,0.0,0.05629,0.0,0.00025
MH0082,0.18193,0.0,0.0,0.7083999999999999,0.0,20.292630000000003,0.0,0.010740000000000001,0.0,0.0,0.0,0.01427,0.19421,74.56559999999999,1.35671,1.52125,0.0,0.0,0.67623,0.24441999999999997,0.0,0.15142999999999998,0.0,0.0,0.0,0.08213999999999999,0.0,0.0
MH0083,0.0,0.0,0.0404,1.97201,0.0,40.16968,0.00948,0.0,0.0,0.0,0.0,0.01883,0.23707,37.16787,1.2499,16.69172,0.0,0.01715,1.3256400000000002,0.7633200000000001,0.0008300000000000001,0.04131,0.0,0.0,0.0,0.29481,0.0,0.0
MH0084,0.0,0.0,0.0,0.13522,0.0,81.29057999999999,0.029269999999999997,0.01677,0.0,0.0,0.015059999999999999,0.0,0.01257,11.45112,0.29415,5.2618,0.0,0.0,1.31812,0.01348,0.0,0.14139,0.0,0.0,0.0,0.02045,0.0,0.0
MH0085,0.0,0.0,0.0,0.8252800000000001,0.0,62.21127,0.02052,0.027999999999999997,0.0,0.0,0.00346,0.004529999999999999,0.02345,34.42132000000001,0.017759999999999998,0.05924,0.0,0.0,1.8983400000000001,0.43756999999999996,0.0,0.04307,0.0,0.0,0.0,0.0,0.0,0.00621
MH0086,0.0,0.0,0.0,9.134479999999998,0.0,15.32035,0.00606,0.007859999999999999,0.0,0.0,0.0,0.03615,2.59982,69.87308,0.40062,0.18386999999999998,0.0,0.0,0.30090999999999996,0.6443399999999999,0.0,1.3319,0.0,0.0,0.0,0.16058,0.0,0.0
O2_UC_11,0.0060799999999999995,0.0,0.0069700000000000005,11.718609999999996,0.0,13.202819999999996,0.02288,0.0,0.00176,0.0,0.0,0.00758,1.2935100000000004,71.21036,0.6387,1.1416500000000003,0.0,0.0,0.14723999999999998,0.0,0.0,0.5781000000000001,0.0,0.0,0.0,0.0,0.0,0.0238
O2_UC_12,4.284870000000001,0.03914,0.02999,4.0638700000000005,0.0,24.287879999999998,0.03282,0.02472,0.00244,0.0,0.0,0.06523,0.83407,47.68345000000001,7.88865,9.563239999999999,0.0,0.0,0.43145999999999995,0.111,0.0,0.65713,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_13,0.28484,0.0,0.0059700000000000005,1.0066899999999999,0.0,24.515920000000005,0.0392,0.0,0.0,0.0,0.0,0.01948,0.17647000000000002,65.34656,1.61677,5.978339999999999,0.0,0.0,0.6943199999999999,0.24376,0.0,0.07028999999999999,0.0,0.0,0.0,0.0,0.0,0.0013599999999999999
O2_UC_14,1.8335499999999998,0.0,0.0,1.6159400000000002,0.0,49.12615,0.04067,0.0,0.0,0.0,0.0,0.0,0.39318,31.656619999999997,0.16417000000000004,14.33484,0.0,0.0,0.46887999999999996,0.33279000000000003,0.0,0.03316,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_16,0.03931,0.0,0.0,2.4934800000000004,0.0,36.5438,0.0,0.0,0.0,0.0,0.0,0.01195,0.047369999999999995,51.13965999999999,1.1007600000000002,7.9921500000000005,0.0,0.0,0.33004,0.20264,0.0,0.09882,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_17,0.0,0.0,0.0,0.60744,0.0,72.44140000000003,0.03598,0.0,0.0,0.0,0.0,0.0,0.14054999999999998,10.60756,0.5564,14.19146,0.0,0.0,1.29114,0.007890000000000001,0.0,0.1118,0.0,0.0,0.0,0.00837,0.0,0.0
O2_UC_18,0.0,0.0,0.0,0.30199,0.0,64.38065999999999,0.02222,0.02669,0.0,0.0,0.0,0.00981,0.04613,28.08543,1.9193099999999998,0.11398,0.0,0.0134,0.00311,0.21771,0.0,4.8595500000000005,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_19,0.0,0.0,0.0,1.9530699999999999,0.0,43.26965,0.09208,0.01969,0.0,0.0,0.0,0.061,0.024120000000000003,41.505799999999994,1.0397399999999999,9.46098,0.03451,0.0,1.1328500000000001,1.18183,0.0,0.22471,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_1,1.78057,0.00486,0.0,1.21672,0.0,38.73502,0.01018,0.0,0.0,0.0,0.0,0.03373,0.05048,41.23087000000001,0.42562999999999995,14.37827,0.0,0.0,0.69914,1.23877,0.0,0.08385000000000001,0.0,0.012329999999999999,0.0,0.09953,0.0,0.0
O2_UC_20,0.0,0.0,0.0,6.526859999999999,0.0,17.767129999999998,0.0,0.01277,0.0,0.0,0.0,0.0372,0.05924,62.44763,0.061130000000000004,11.50617,0.0,0.0,1.17812,0.35679999999999995,0.0,0.046939999999999996,0.0,0.0,0.0,0.0,0.0,0.0
O2_UC_21,0.0,0.0,0.0,3.8682400000000006,0.0,18.4052,0.0,0.013609999999999999,0.0,0.0,0.0,0.0,2.16591,56.55031,0.014759999999999999,18.153209999999998,0.0,0.0,0.43797,0.20176,0.0,0.1647,0.0,0.0,0.0,0.02431,0.0,0.0
