SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlamydiae,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
MH0086,0,0,9.13448,0,15.33427,0,0,0,0.03615,73.05739,0,2.27715,0,0,0,0.16058,0
O2_UC_11,0.00608,0.00697,11.71861,0,13.2257,0.00176,0,0,0.00758,74.28422,0,0.72534,0,0,0,0,0.0238
O2_UC_12,4.32401,0.02999,4.06387,0,24.34542,0.00244,0,0,0.06523,65.96941,0,1.19959,0,0,0,0,0
O2_UC_13,0.28484,0.00597,1.00669,0,24.55512,0,0,0,0.01948,73.11814,0,1.00837,0,0,0,0,0.00136
O2_UC_14,1.83355,0,1.61594,0,49.16682,0,0,0,0,46.54881,0,0.83483,0,0,0,0,0
O2_UC_16,0.03931,0,2.49348,0,36.5438,0,0,0,0.01195,60.27994,0,0.6315,0,0,0,0,0
O2_UC_17,0,0,0.60744,0,72.47738,0,0,0,0,25.49597,0,1.41083,0,0,0,0.00837,0
O2_UC_18,0,0,0.30199,0,64.42957,0,0,0,0.00981,30.16485,0,5.09377,0,0,0,0,0
O2_UC_19,0,0,1.95307,0,43.38142,0,0,0,0.061,52.03064,0.03451,2.53939,0,0,0,0,0
O2_UC_1,1.78543,0,1.21672,0,38.7452,0,0,0,0.03373,56.08525,0,2.02176,0,0.01233,0,0.09953,0
O2_UC_20,0,0,6.52686,0,17.7799,0,0,0,0.0372,74.07417,0,1.58186,0,0,0,0,0
O2_UC_21,0,0,3.86824,0,18.41881,0,0,0,0,76.88419,0,0.80443,0,0,0,0.02431,0
O2_UC_22,0,0.02888,6.81569,0,43.3197,0,0,0,0.02512,48.5518,0,1.25881,0,0,0,0,0
O2_UC_23,0,0.03697,10.26974,0,33.73761,0.00227,0,0,0.09046,39.97821,0.79537,7.37549,0,0,0,7.71381,0
O2_UC_24,0.25684,0.01099,2.04497,0,50.89475,0,0,0.00912,0,45.98292,0,0.80038,0,0,0,0,0
O2_UC_4,0,0.02161,0.60417,0,11.67945,0,0,0.00359,0.0141,86.80964,0.00283,0.83742,0,0,0,0.0272,0
V1_CD_11,0,0,0.61302,0,11.72721,0,0.00198,0,0.00646,62.84303,3.54209,21.26621,0,0,0,0,0
V1_CD_12,0,0.01132,0.05086,0,58.76954,0,0,0,0,37.08392,0,4.08366,0,0,0,0,0.00067
V1_CD_13,0.29338,0,3.33385,0,19.59622,0,0,0,0.02574,75.53011,0,1.19916,0,0,0,0.02153,0
V1_CD_14,1.9561,0,0.74537,0,42.85931,0,0,0,0.07603,49.21532,0,2.01722,0,0,0,3.13065,0
V1_CD_15,0,0,5.10145,0,71.87431,0,0,0,0,18.04539,0,4.97882,0,0,0,0,0
V1_CD_1,0,0,1.60265,0,71.43604,0,0,0,0.01047,26.03744,0,0.91335,0,0,0,0,0
V1_CD_2,0.10099,0.02965,0.42268,0,76.45063,0,0,0.00352,0.01382,22.42093,0,0.54986,0,0,0,0.00791,0
V1_CD_3,0,0,5.84303,0,44.82951,0,0,0,0.02317,46.99066,0.00117,2.28402,0,0,0,0.02844,0
V1_CD_4,0,0.00598,3.68019,0,30.09281,0,0,0,0.03252,65.14174,0,0.85152,0,0,0,0.19521,0
V1_CD_6,0,0.02297,0.82338,0,51.5473,0,0,0,0.01521,41.47817,0,5.32084,0,0,0,0.79207,0
V1_CD_8,9.63131,0,1.99987,0,36.74147,0,0,0,0.09953,46.20033,0,0.87665,0,0,0,4.45083,0
V1_CD_9,4.82631,0.04661,0.61697,0,46.25763,0,0,0,0.02028,42.66594,0,1.56963,0,3.68653,0,0.31009,0
V1_UC_10,0.41965,0.02846,1.78015,0,18.5614,0,0,0,0.03095,76.19365,0,1.40983,0,0,0,1.57595,0
V1_UC_13,0,0.01653,14.76418,0,54.62293,0,0,0,0.05392,28.97765,0,1.55868,0,0.00609,0,0,0
V1_UC_14,0.24062,0,22.1595,0.00244,24.39,0,0,0,0.02247,52.17194,0,1.01302,0,0,0,0,0
V1_UC_15,0,0.05261,20.59932,0,33.5073,0.00206,0,0,0.0176,45.3132,0,0.50789,0,0,0,0,0
V1_UC_17,0.07288,0.00775,1.34952,0,35.60064,0,0,0,0.04213,54.63794,3.96092,4.32816,0,0,0,0,0
V1_UC_18,0,0,8.93814,0,48.86731,0.00105,0,0,0.00899,36.68392,0,5.4062,0,0.00887,0,0.08234,0.00317
V1_UC_19,0,0.02116,4.6328,0,39.91877,0,0,0.00439,0.01726,43.04835,0,2.77757,0,0,0,9.57425,0.00548
V1_UC_21,0,0,0.72,0,32.83025,0,0,0,0.00897,62.6789,0.00806,3.75386,0,0,0,0,0
V1_UC_6,0.00913,0.0062,3.69784,0,25.08161,0,0,0,0.02023,63.76141,0.00475,2.13553,0,0,0,5.28325,0
V1_UC_7,0,0,1.7531,0,61.48586,0,0,0,0,31.72045,0.00838,3.79435,0,0,0,1.23786,0
V1_UC_8,3.40237,0.00442,8.61718,0,25.28493,0,0,0,0.01925,56.83758,0,0.81132,0,0,0,4.97454,0.04844
V1_UC_9,0.2426,0.01011,8.15355,0,17.09046,0.00511,0,0,0.04948,66.06953,0,0.8203,0,0,0,7.55885,0
