SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
MH0024,0.1179,0.0,0.00613,0.00062,0.00476,0.11854,0.0,67.96607,0.0,0.0,0.0,0.0,0.0,0.033319999999999995,0.0,0.018459999999999997,31.02238,0.0,0.048709999999999996,0.59489,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01355,0.02076,0.0,0.0,0.0,0.0,0.0,0.021830000000000002,0.0,0.00047999999999999996
MH0025,0.5191399999999999,0.0,0.13149,0.0,2.6148200000000004,0.91685,0.0,31.808970000000006,0.0,0.026810000000000004,0.0,0.0,0.0,0.025230000000000002,0.0,0.22966999999999999,47.322579999999995,0.0,0.72504,0.14319,0.0,0.0,0.0,0.38727999999999996,0.0,0.0,0.5360699999999999,0.0,0.0,0.06359,0.0,10.38411,0.0,0.0,0.7437,0.0,0.15192999999999998,0.0,0.0,0.0,3.26953,0.0,0.0
MH0026,0.0,0.0,0.0,0.0,0.01929,0.57473,0.0,63.522049999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01121,34.69164000000001,0.0,0.24897000000000002,0.07516,0.0,0.0,0.0322,0.44841000000000003,0.0,0.0,0.12055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25579,0.0,0.0
MH0028,0.06227,0.0,0.0053100000000000005,0.0,0.97688,0.11795,0.0,64.33294000000001,0.00872,0.07237,0.0,0.0,0.0,0.0,0.0,0.0076,30.56791,0.0,0.18121,0.19161999999999998,0.0,0.0,0.0,0.31891,0.0,0.017159999999999998,0.6200500000000001,0.0,0.0,0.0,0.0,1.93501,0.0,0.0,0.01798,0.0,0.0,0.0,0.0,0.0,0.56608,0.0,0.0
MH0030,0.10206,0.00968,0.0,0.01755,0.8500199999999999,0.31733,0.0,14.694700000000001,0.0,0.0,0.0,0.0,0.01026,0.026889999999999997,0.0022600000000000003,0.9820499999999999,77.45547,0.0,2.66797,1.8881700000000001,0.0,0.0,0.0,0.5253099999999999,0.0,0.0,0.37959,0.0,0.0,0.0,0.0,0.0,0.0,0.06432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006409999999999999
MH0031,0.28777,0.0,0.0,0.0,0.7064,0.5802999999999999,0.0,21.614320000000003,0.0,0.0,0.0,0.0,0.0,0.010320000000000001,0.0,0.12982,73.81759999999998,0.0,0.75918,0.97321,0.0,0.0,0.0282,0.37940999999999997,0.0,0.0,0.02085,0.0,0.0,0.0,0.0,0.0,0.0,0.23185,0.0,0.0,0.0,0.0,0.0,0.0,0.44585,0.0,0.014910000000000001
MH0032,0.009250000000000001,0.0,0.0063100000000000005,0.01829,0.18412,0.2259,0.0,71.11797,0.0,0.0,0.0,0.0,0.0,0.01372,0.0,0.08098,24.94183,0.0,0.23108,2.4289899999999998,0.0,0.0,0.0,0.5902,0.0,0.0,0.036710000000000007,0.0,0.0,0.0,0.0,0.05864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05595,0.0,0.0
MH0033,0.11188,0.0,0.0,0.0,0.5910399999999999,0.28507,0.0,30.166999999999994,0.01775,0.069,0.0,0.0,0.0,0.01176,0.0,0.13697,61.24457000000001,0.0,0.06394,6.08244,0.0,0.0,0.0,0.05738000000000001,0.0,0.0,0.52802,0.0,0.0,0.0,0.0,0.28926999999999997,0.0,0.31455999999999995,0.01831,0.0,0.0,0.0,0.0,0.0,0.01103,0.0,0.0
MH0034,0.0,0.0,0.0,0.0,0.10119999999999998,0.063,0.0,79.20989,0.052000000000000005,0.04448,0.0,0.0,0.0,0.011479999999999999,0.0,0.06375,16.234559999999995,0.0,0.009260000000000001,3.4671499999999993,0.0,0.0,0.0,0.44732,0.17843,0.0,0.11526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00224,0.0,0.0,0.0,0.0,0.0,0.0
MH0035,0.07484999999999999,0.0,0.0,0.0,2.43544,0.25878999999999996,0.0,40.5769,0.03128,0.01674,0.0,0.0,0.0,0.0,0.0,0.9516300000000001,41.416169999999994,0.02458,0.01575,8.688349999999998,0.0,0.0,0.0,0.09559,0.0,0.0,0.35365,0.0,0.0,0.0,0.0,0.0028,0.0,0.33530999999999994,0.0,0.0,0.00271,0.0,0.0,0.0016600000000000002,4.71777,0.0,0.0
MH0036,0.11284,0.0,0.04446,0.01744,0.00598,0.039040000000000005,0.0,39.8256,0.0,0.0,0.0,0.0,0.0,0.02418,0.0,0.01335,45.449569999999994,0.01434,2.06623,12.12241,0.0,0.0,0.0,0.03257,0.0,0.0,0.14797,0.0,0.0,0.0,0.0,0.07658,0.0,0.0,0.00124,0.0,0.0,0.0,0.0,0.0,0.006220000000000001,0.0,0.0
MH0037,0.0,0.0,0.00725,0.03486,0.046110000000000005,0.38285,0.0,45.93667999999999,0.0,0.0033399999999999997,0.0,0.0,0.0,0.047330000000000004,0.0,0.12267,30.358560000000004,0.0,0.04519,15.133400000000002,0.0,0.0,0.0,1.32397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32823,0.0,0.05221,0.0,0.0,0.0,0.0,0.0,0.0,6.176740000000001,0.0,0.00057
MH0038,0.0,0.0,0.018609999999999998,0.0,0.80616,0.09906999999999999,0.0,43.30503,0.02036,0.038439999999999995,0.0,0.0,0.0,0.03372,0.0,0.04015,53.992039999999996,0.0,0.11511999999999999,0.43422,0.0,0.0,0.0,0.6558599999999999,0.016130000000000002,0.0,0.11785999999999999,0.0,0.0,0.0,0.0,0.0117,0.0,0.28912,0.0,0.0,0.0,0.0,0.0,0.00343,0.003,0.0,0.0
MH0039,0.00727,0.0,0.0231,0.014819999999999998,0.76017,0.38764000000000004,0.0,59.39449,0.11379,0.0,0.0,0.0,0.0,0.02513,0.0,0.0057,32.35594,0.0,1.1023500000000002,3.2942100000000005,0.0,0.0,0.0,2.0529199999999994,0.0,0.0,0.22013999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847,0.0,0.0,0.0,0.0,0.23388,0.0,0.0
MH0040,0.0,0.0,0.0139,0.0,0.59399,0.22858000000000003,0.0,43.025569999999995,0.01141,0.0,0.0,0.0,0.0,0.10583,0.0,0.30929000000000006,45.612100000000005,0.0,0.0526,9.24698,0.0,0.0,0.0,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040310000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.71763,0.0,0.0
MH0041,0.0,0.0,0.01208,0.0036899999999999997,7.9514700000000005,1.4438499999999999,0.0,35.47237000000001,0.0,0.0,0.0,0.0,0.0,0.00657,0.0,0.35884,40.466170000000005,0.0,1.4703300000000001,10.108130000000003,0.0,0.0,0.0,1.48038,0.0,0.0,0.9368099999999999,0.0,0.0,0.0,0.0,0.09698999999999999,0.0,0.06377000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.12850999999999999,0.0,0.0
MH0042,0.19762999999999997,0.0045,0.00575,0.017079999999999998,4.64764,0.29680999999999996,0.0,32.57122,0.0,0.02029,0.0013800000000000002,0.0,0.0,0.07503,0.0,0.00075,57.10696000000001,0.0,0.10808000000000001,3.2951699999999997,0.0,0.0,0.0,0.35585,0.0,0.0,0.1688,0.0,0.0,0.0,0.0,0.011909999999999999,0.0,0.1414,0.0,0.0,0.0,0.0,0.0,0.0,0.9737399999999999,0.0,0.0
MH0043,0.0,0.0,0.01445,0.00259,0.78667,0.10412,0.0,45.80647000000001,0.015369999999999998,0.0,0.00035,0.0,0.0,0.0576,0.00414,0.02382,46.74727,0.0,0.02364,4.295629999999999,0.0,0.0,0.0,0.44079,0.0,0.0,0.25701,0.0,0.0,0.0,0.0,0.0227,0.0,0.27677,0.0,0.0,0.0,0.0,0.0,0.0,1.1206200000000002,0.0,0.0
MH0044,0.0,0.0,0.00663,0.0,0.68887,0.11860000000000001,0.0,24.635539999999992,0.0074,0.00911,0.0,0.0,0.0,0.01961,0.0,0.01644,69.9388,0.0,0.03511,4.21676,0.0,0.00395,0.0,0.07239999999999999,0.0,0.0,0.20387,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077599999999999995,0.0,0.00215
MH0045,0.0,0.0,0.0,0.0,0.23424,0.5036700000000001,0.0,50.356410000000004,0.05107,0.030969999999999998,0.0,0.0,0.0,0.0,0.0,0.12924,41.93463,0.0,0.12329999999999999,4.8582600000000005,0.0,0.0,0.0,0.94092,0.0,0.0,0.5590099999999999,0.0,0.0,0.0,0.0,0.051620000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22669,0.0,0.0
MH0046,0.0,0.0,0.00848,0.0,0.0,0.24669999999999997,0.0,47.65771999999999,0.02785,0.04415,0.0,0.0,0.0,0.00922,0.0,0.05784,42.09435999999999,0.0,0.85729,6.165030000000001,0.0,0.0,0.0,1.35218,0.0882,0.0,1.05044,0.0,0.2196,0.0,0.0,0.0,0.0,0.0,0.0,0.01243,0.0,0.0,0.0,0.0,0.09589,0.0,0.01261
MH0047,0.0,0.0,0.0,0.0,0.78377,0.10119000000000002,0.0,58.24044,0.02157,0.0,0.0,0.0,0.0,0.0,0.0,0.09639000000000002,35.17495,0.0,1.5508399999999998,3.38282,0.0,0.0,0.0,0.17741,0.0,0.0,0.41901,0.0,0.0,0.0,0.0,0.05159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0048,0.0,0.0,0.0,0.0,1.7882900000000002,0.5694100000000001,0.0,35.887829999999994,0.0,0.0,0.0,0.0,0.0,0.01143,0.0,0.04463,57.95560999999999,0.0,0.7730600000000001,0.29758999999999997,0.0,0.0,0.0,0.11903,0.0,0.0,0.83457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607,0.0,0.0,0.0,1.69251,0.0,0.0
MH0049,0.0,0.0,0.0,0.0,0.36225999999999997,0.20111,0.0,53.55285000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024329999999999997,24.86557,0.0,0.01547,17.29657,0.0,0.0,0.0,3.46259,0.0,0.0,0.1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0056700000000000006,0.0,0.01745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0050,0.10727,0.0,0.0,0.0,0.93312,0.36641,0.0,34.00799,0.06848,0.01624,0.0,0.0,0.0,0.02592,0.0,0.21270999999999998,61.179940000000016,0.0,0.74127,0.10461999999999999,0.0,0.0,0.0,0.5101500000000001,0.0,0.0,0.16341,0.0,0.0,0.0,0.0,0.032330000000000005,0.0,0.012329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.51775,0.0,0.0
MH0051,0.07591,0.0,0.00872,0.0,0.11715,0.0,0.0,42.07914,0.01432,0.02281,0.0,0.0,0.0,0.00949,0.0,0.0182,50.95674000000002,0.0,1.26403,4.1374200000000005,0.0,0.0,0.0,0.9797600000000001,0.0,0.0,0.28115,0.0,0.0,0.0,0.0,0.00417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0
MH0052,0.16507,0.0,0.01153,0.0,0.33643,0.13387000000000002,0.0,23.03407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32097000000000003,65.74884,0.0,0.05724,6.9520599999999995,0.0,0.0,0.0,1.8242,0.0,0.0,1.11167,0.0,0.0,0.0,0.0,0.24995,0.0,0.05412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0053,0.29596999999999996,0.0,0.0,0.0,2.20268,1.06021,0.0,11.0426,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.2279,77.17201000000001,0.0,3.30155,4.058069999999999,0.0,0.0,0.0,0.35108,0.0,0.0,0.20999,0.0,0.0,0.0,0.0,0.039619999999999995,0.0,0.01845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138
MH0054,0.10813,0.0,0.01178,0.0,1.63574,0.17533000000000004,0.0,25.797050000000002,0.00967,0.0,0.0,0.0,0.0,0.038419999999999996,0.0,0.01828,56.879900000000006,0.0,0.21253000000000002,2.01641,0.0,0.0,0.0,2.8346600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9834299999999999,0.0,0.01962,0.0,0.00864,0.0,0.0,0.0,0.0,9.25039,0.0,0.0
MH0055,0.0,0.0,0.0,0.00343,0.6170300000000001,0.43937000000000004,0.0,45.990710000000014,0.0,0.024659999999999998,0.0,0.0,0.0,0.01896,0.0,0.15508,44.740260000000006,0.0,0.6089800000000001,5.07917,0.0,0.0,0.0,1.8447700000000002,0.09068,0.0,0.03162,0.0,0.0193,0.0,0.0,0.0,0.0,0.33597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0056,0.48762000000000005,0.0042899999999999995,0.00548,0.0,1.01798,0.21946000000000002,0.0,27.324499999999993,0.026969999999999997,0.020390000000000002,0.0,0.00365,0.0,0.047639999999999995,0.00588,0.057409999999999996,68.19777,0.0,0.0871,0.14245000000000002,0.0,0.0,0.0,0.30605,0.028480000000000002,0.0,0.7537100000000001,0.07622999999999999,0.0,0.0,0.0,1.1451799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332,0.0,0.00859
MH0057,0.0,0.0,0.0,0.0,0.16242,0.21201,0.0,58.655919999999995,0.20344,0.0184,0.0,0.0,0.0,0.04779,0.0,0.006999999999999999,23.096749999999997,0.0,0.38712,14.21057,0.0,0.0,0.0,2.25718,0.0,0.0,0.6390299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00921,0.0,0.0,0.0,0.0,0.0932,0.0,0.0
MH0058,0.04619,0.0,0.0,0.0,0.46948,0.34747,0.0,48.07126,0.04997,0.0,0.0,0.0,0.00421,0.02758,0.0009199999999999999,0.32158,42.40032,0.010579999999999999,0.06031999999999999,3.12412,0.0,0.0,0.0,3.24362,0.0,0.0,0.39464000000000005,0.0,0.0,0.0,0.0,0.27852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14848,0.0,0.00078
MH0059,0.0035299999999999997,0.0,0.0,0.0,1.8125499999999999,0.61114,0.0,30.8763,0.0,0.00271,0.0,0.0,0.0,0.006370000000000001,0.0,0.05126,56.78637000000001,0.0,2.01499,3.73161,0.0,0.01235,0.0,1.8935500000000003,0.0,0.0,0.02833,0.0,0.0,0.0,0.0,0.41393,0.0,0.00805,0.0,0.008579999999999999,0.0,0.0,0.0,0.0,1.73839,0.0,0.0
MH0060,0.6451600000000001,0.00743,0.0,0.0,0.91702,0.14734000000000003,0.0,20.457440000000005,0.0,0.0,0.0,0.0,0.0,0.03095,0.0,0.01038,54.51298,0.0,1.35339,4.78304,0.0,0.0,0.0,0.80204,0.0,0.0,0.19204,0.0,0.0,0.0,0.0,0.06262000000000001,0.0,0.00237,0.0,0.0,0.0,0.0,0.0,0.0,16.07583,0.0,0.0
MH0061,0.0,0.0,0.01553,0.0033200000000000005,0.0,0.08327000000000001,0.0,72.01401,0.031869999999999996,0.04626,0.0,0.0,0.0,0.016890000000000002,0.0,0.04224,19.47269,0.0,0.09279000000000001,6.84543,0.00271,0.0,0.0,0.0,0.0,0.0,0.33421,0.0,0.0,0.0,0.0,0.25254,0.0,0.74625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0062,0.0,0.0,0.0,0.00954,1.32332,1.9192399999999998,0.0,28.768900000000006,0.0,0.0,0.0,0.0,0.0,0.00644,0.0092,0.0030600000000000002,57.48081000000002,0.0,0.18526999999999996,6.5117199999999995,0.31251999999999996,0.0,0.0,2.6743,0.0,0.0,0.6600100000000001,0.0,0.0,0.0,0.0,0.12678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008870000000000001
MH0063,0.18231999999999998,0.0,0.0,0.0,0.25503000000000003,0.29488,0.0,37.40213,0.0,0.04033,0.0,0.0,0.0,0.03218,0.0,0.07302,58.07591,0.0176,0.9863399999999999,1.9422600000000003,0.0,0.0,0.0,0.38641,0.0,0.0,0.06357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24806,0.0,0.0,0.0,0.0,0.0,0.0
MH0064,0.0,0.0,0.02014,0.0,0.5041,0.14009999999999997,0.0,62.57069999999999,0.00827,0.0,0.0,0.0,0.0,0.02738,0.0,0.12983,25.527779999999996,0.0,0.01817,9.00067,0.0,0.0,0.0,1.1299100000000002,0.0,0.01627,0.22349999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.01754,0.01705,0.007379999999999999,0.0,0.0,0.0,0.0,0.6402399999999999,0.0,0.00095
