SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae
S158,0.17472000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0439200000000002,1.1256300000000001,0.0,21.32427,0.81123,4.01519,0.0,3.6722399999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04723,0.0,0.04807,6.0696200000000005,0.0,0.0,0.038349999999999995,23.000729999999997,9.832509999999997,0.62923,0.01495,21.418760000000002,0.0,0.12965000000000002,0.0,4.40536,0.0,0.0,0.0,0.0,0.0,0.27151,0.0,0.50259,0.0,0.14176,0.0,0.0,0.0,0.004370000000000001,0.0,0.0,1.2782,0.0,0.0
S187,0.79147,0.0,0.0,0.056049999999999996,0.0,0.0,0.0,0.0,0.02145,0.0,3.89901,2.2023399999999995,0.0,5.683590000000001,0.28075,2.1215499999999996,0.97646,1.8004499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00321,0.0,0.0,0.00172,0.02278,0.0,0.0,1.2508200000000003,0.80716,0.00456,0.0,1.31737,19.56092,15.780909999999999,0.33983,0.46175,33.568329999999996,0.0,0.06385,0.43172,4.420559999999999,0.0,0.0,0.0,0.00575,0.01939,0.29099,0.0,0.18087,0.0,0.013219999999999999,0.0,0.0707,0.0,0.0,0.0,0.0,3.5504800000000003,0.0,0.0
S193,3.91875,0.00624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77699,1.96005,0.0,9.255090000000001,1.8378299999999999,8.06528,1.50119,9.671959999999999,0.0,0.0,0.0,0.0,0.01734,0.0,0.0,0.0,0.0,0.0,0.0,0.007809999999999999,0.058879999999999995,0.0,0.35038,0.07635,0.0,0.0,0.00963,5.9594499999999995,8.299800000000001,0.22801999999999997,1.37318,31.87299,0.0,1.15905,0.0,8.79485,0.0,0.0,0.0,0.06945,0.08106000000000001,0.30318,0.0,0.6710200000000001,0.0,0.007520000000000001,0.0,0.007670000000000001,0.0,0.0,0.0,0.0,0.6572100000000001,0.0,0.0017699999999999999
S194,0.0,0.0,0.0,0.00886,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.0,0.44950999999999997,0.0,7.224409999999999,0.0,3.74674,0.0,4.14187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831,0.18675999999999998,0.013380000000000001,0.0,0.0,1.62797,2.08272,26.257669999999997,0.21159,0.0192,14.518930000000001,0.0,0.15454,0.0,0.007409999999999999,0.0,0.0,0.0,0.0,0.00825,0.41996,0.0,0.35396,0.0,37.03253,0.0,0.0,0.30178,1.11304,0.0,0.0,0.11034000000000001,0.0,0.0
S195,0.0,0.0,0.00643,0.00656,0.0,0.0,0.0605,0.0,0.0,0.07701000000000001,1.6339299999999999,1.2549099999999997,0.0,0.64185,0.0,0.0,0.0,5.72314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593,0.0,1.09179,1.1413599999999997,0.0,0.0,0.01113,44.701069999999994,11.678679999999998,0.11080999999999999,1.40733,19.76106,0.0,1.10667,0.0,5.211680000000001,0.0,0.0,0.0,0.00309,0.0,0.00324,0.0,0.03721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13468,0.0,0.0
S198,1.8294400000000002,0.0,0.0,0.00369,0.0,0.0,0.01384,0.0,0.0,0.045989999999999996,4.65794,1.06745,0.0,3.29269,0.0,0.8884,0.0,4.956449999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24092999999999998,0.057710000000000004,0.52863,0.11173,0.00255,0.0,0.01245,16.784529999999997,14.352210000000003,0.19337000000000001,0.9455000000000001,45.31696,0.0,0.12216,0.0,3.2198500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.57493,0.0,0.0
S205,0.0,0.0,0.0,0.01193,0.0,0.0,0.0,0.0,0.0047799999999999995,0.0,0.0,0.22039,0.0,35.520739999999996,0.0,0.0,0.0,3.63537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639,0.0,0.0,0.01325,0.0,0.0,0.0,0.27098,0.70496,0.00628,0.0,0.0017699999999999999,5.787999999999999,9.339859999999998,0.06903,0.0,20.09675,0.0,3.5504800000000003,0.0,3.96975,0.0,0.0,0.0,0.0,0.00288,0.03959,0.0,1.4841400000000002,0.0,4.06326,0.0,0.0,0.0,0.0,0.0,0.0,11.19943,0.0,0.0
S224,3.3017800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38259,0.14619,0.0,14.882679999999999,0.18288,5.16782,1.82263,5.56295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8608200000000001,3.44312,0.0,0.0,0.0,10.39634,13.35111,0.09725,1.14376,27.80015,0.0,0.27709,0.0,1.7748799999999998,0.0,0.0,0.0,0.0,0.06538,0.013630000000000001,0.0,0.15120999999999998,0.0,9.13651,0.0,0.02069,0.0,0.0,0.0,0.0,0.01769,0.0,0.0008900000000000001
S225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7658,0.84121,0.0,11.89685,1.08297,2.56346,1.02585,3.1434,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137400000000001,13.457699999999999,0.00599,0.0,0.00221,12.7065,11.99094,0.35125,0.006529999999999999,29.147270000000002,0.0,0.04213,0.0,0.0439,0.0,0.0,0.0,0.00359,0.0,0.16934999999999997,0.0,0.04234,0.0,0.07197999999999999,0.0,0.0,0.0,0.04504999999999999,0.0,0.0,6.976839999999999,0.0,0.0
S231,14.790880000000001,0.00836,0.0,0.01684,0.0,0.0,0.0,0.0,0.0,0.0,0.15488000000000002,2.1910200000000004,0.0,1.99375,0.0517,0.98637,0.0,1.00318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64431,0.0,0.02211,0.0,0.22102999999999998,0.0,0.0,0.0,7.217080000000001,12.017039999999998,0.0703,0.030639999999999997,26.69702,0.0,1.16489,0.12719,0.03524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21244,0.0,27.99296,0.0,0.0,0.0,0.0,0.0,0.0,2.3507700000000002,0.0,0.0
S235,0.0,0.0,0.0,0.02435,0.0,0.0,0.0,0.0,0.00698,0.0,18.481169999999995,1.83357,0.0,2.55075,0.0266,1.28943,0.0,1.0967799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256,0.0,0.0,5.10212,3.6359500000000002,0.0,0.0,0.012969999999999999,6.00047,9.396650000000001,0.27738,0.0,28.28581,0.0,2.47717,2.24107,7.790339999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25129,0.0,0.0,0.0,0.0,0.0,0.0,7.79355,0.0,0.0
S244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02081,0.0,0.0,2.70503,2.05699,0.0,5.449199999999999,0.0,0.0,0.0,2.1220299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055899999999999995,0.6305999999999999,0.60865,0.00263,0.0,0.046759999999999996,30.685360000000003,13.550469999999997,0.0794,0.16958,15.30073,0.0,0.62019,0.0,4.1088499999999994,0.0,0.0,0.0,0.07987999999999999,0.0,0.06501,0.0,0.0,0.0,21.681400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.01084,0.0,0.0
