SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
S370,0.0,0.0,2.58176,0.0,18.612579999999998,0.0,0.0,0.0,76.66345999999999,0.0,1.7312400000000001,0.0,0.41093,0.0
S378,3.1252400000000002,0.0,0.8166999999999999,0.0,19.36322,0.0,0.0,0.0,75.02497,0.0,1.6006399999999998,0.0,0.06924,0.0
S380,1.99995,0.0,5.17254,0.0,6.2184,0.0,0.0,0.0,85.31462000000003,0.0,0.0137,0.0,1.28035,0.00044
S381,3.6252699999999995,0.0,7.51552,0.0,10.638340000000001,0.0,0.0,0.0,71.19663000000001,0.0,7.017,0.0,0.0,0.0072
S389,0.0,0.0,6.29086,0.0,11.98215,0.0,0.0,0.0,69.44444999999999,0.0,10.621960000000001,0.0,1.6442299999999999,0.01634
S398,0.0,0.0,6.47226,0.0,27.539259999999995,0.0,0.0,0.0,63.90955,0.0,0.6164399999999999,0.0,1.4625,0.0
S421,0.00995,0.0,5.849779999999999,0.0,5.11263,0.0,0.0,0.0,88.74493000000002,0.0,0.21376,0.0,0.06897,0.0
S422,0.6758099999999999,0.0,2.5198400000000003,0.0,5.20115,0.0,0.0,0.011729999999999999,90.82829000000001,0.0,0.74275,0.0,0.020390000000000002,0.0
S424,0.0,0.0,5.44249,0.0,12.77618,0.0,0.0,0.0,74.12236999999998,0.0,0.21178,0.0,7.44718,0.0
S434,0.0,0.0,1.5350600000000003,0.0,7.967670000000001,0.0,0.0,0.005679999999999999,86.84125999999999,0.0,1.24349,0.0,2.4068099999999997,0.0
S436,10.47902,0.0,2.86949,0.0,30.2347,0.0,0.007690000000000001,0.0,39.63052,0.0,1.47877,0.0,15.29982,0.0
S439,0.0,0.0,2.1538500000000003,0.0,35.44712,0.0,0.0,0.01009,61.73515,0.0,0.04534,0.0,0.6077,0.00072
S446,1.0297399999999999,0.0,0.22959000000000004,0.0,18.081759999999996,0.0,0.0,0.01185,80.11686999999999,0.0,0.53021,0.0,0.0,0.0
S451,0.0,0.0,10.205459999999999,0.0,51.30247,0.0,0.0,0.0087,37.98065999999999,0.0,0.49427000000000004,0.0,0.008409999999999999,0.0
S456,0.0,0.0,4.28648,0.0,33.39469,0.0,0.0,0.00828,57.77340999999999,0.0,2.2462199999999997,0.0,2.2909200000000003,0.0
S458,6.191669999999999,0.0,30.030289999999997,0.0,5.797769999999999,0.0,0.0,0.007619999999999999,56.133669999999995,0.0,0.64498,0.01103,1.18297,0.0
S462,1.7892299999999999,0.0,0.79734,0.0,21.975179999999995,0.0,0.0,0.0,69.70138999999999,0.0,1.5578400000000001,0.0,4.1790199999999995,0.0
S463,0.7974399999999999,0.0,18.6143,0.0,6.902139999999999,0.0,0.0,0.0,70.32766999999998,0.0,0.64636,0.0,2.71211,0.0
S468,0.83064,0.0,6.76149,0.0,24.948849999999997,0.0,0.0,0.0,67.30120000000001,0.0,0.15779,0.0,0.0,0.0
S470,0.9151499999999999,0.0,9.331890000000003,0.0,13.9799,0.0,0.0,0.0,74.40402999999999,0.0,0.7869299999999999,0.0,0.58212,0.0
S475,0.0,0.0,4.31554,0.0,11.34126,0.0,0.0,0.02359,81.03788999999996,0.0,0.97007,0.0,2.31168,0.0
S476,0.0026699999999999996,0.0,4.798609999999998,0.0,12.39645,0.0,0.0,0.0065,78.17017999999999,0.0,2.5639899999999995,0.0,2.0616,0.0
S478,0.0,0.0,10.17883,0.0,11.056099999999999,0.0,0.0,0.0,77.41685,0.0,0.10556,0.0,1.24264,0.0
S479,1.05626,0.0,9.072149999999999,0.0,1.12236,0.0,0.0,0.0,88.6358,0.0,0.09351,0.0,0.01992,0.0
S483,0.0,0.0,1.8572499999999998,0.0,25.77872,0.0,0.0,0.0,71.19698,0.0,1.1602599999999998,0.0,0.0004,0.00638
S484,0.0,0.0,3.40507,0.0,30.07403,0.0,0.0037,0.0,65.31933000000002,0.0,1.19789,0.0,0.0,0.0
S495,0.0,0.0,11.439039999999999,0.0,11.90763,0.0,0.0,0.0,73.47541,0.0,0.7364899999999999,0.0,2.44142,0.0
S497,3.35005,0.00618,4.786700000000001,0.0,14.298800000000002,0.0,0.0,0.0,72.03752999999998,0.0,0.35079999999999995,0.0,5.16035,0.00962
S517,0.32676,0.0,2.8627299999999996,0.0,25.32039,0.0,0.0,0.00571,69.16689000000002,0.0,0.224,0.0,2.0935200000000003,0.0
S524,4.88706,0.0,9.74399,0.0,11.611619999999998,0.0,0.0,0.01366,72.88394999999998,0.0,0.53262,0.0,0.32711999999999997,0.0
S526,1.35456,0.0,4.33922,0.0,14.79323,0.0,0.0,0.0,75.15214000000002,0.0,4.159079999999999,0.0,0.20181,0.0
S529,0.0,0.0,15.568740000000002,0.0,3.3096900000000002,0.0,0.0,0.00742,80.44026,0.0,0.3322,0.0,0.34171,0.0
S530,0.66111,0.0,14.375640000000002,0.0,2.09038,0.0,0.0,0.00415,82.66588,0.0,0.20037000000000002,0.0,0.00245,0.0
S536,1.7981,0.0,18.14855,0.0,5.296220000000001,0.0018599999999999999,0.0,0.00412,72.72635999999999,0.0,1.80278,0.0,0.22205,0.0
S53,2.74485,0.0,8.720830000000001,0.0,12.882039999999996,0.0,0.0,0.01064,61.26541,0.0,0.88534,0.0,13.490920000000001,0.0
S543,0.1137,0.0,4.229889999999999,0.0,29.928050000000002,0.0,0.0,0.0122,63.005610000000004,0.0,0.50445,0.0,2.2061,0.0
S550,0.007430000000000001,0.0,10.08434,0.0,16.568769999999997,0.0,0.0,0.0,64.78384000000001,0.0,8.12913,0.0,0.42313,0.0034
S551,0.0,0.0,4.213659999999999,0.0,12.671529999999999,0.0,0.0,0.0,79.48741000000003,0.0,0.34092999999999996,0.0,3.2841400000000003,0.00235
S552,1.87458,0.014130000000000002,18.648100000000003,0.0,13.576790000000003,0.0068,0.0,0.02305,62.02112,0.0,0.60237,0.0,3.23307,0.0
S561,0.06899,0.0,1.51979,0.0,5.74633,0.00544,0.0,0.00402,68.25298000000001,0.00865,0.637,0.0,23.7568,0.0
S563,0.0,0.0,10.31204,0.0,14.10383,0.0,0.0,0.012709999999999999,73.06630000000001,0.0,1.0274299999999998,0.0,1.47769,0.0
S577,1.5403200000000001,0.0,4.14266,0.0,7.530409999999999,0.0,0.0,0.0,57.18436,0.0,21.6287,0.0,7.973560000000001,0.0
S584,0.0,0.0,7.05234,0.0,16.2778,0.0,0.0,0.01113,75.97207,0.0,0.50911,0.0,0.17764000000000002,0.0
S587,0.0,0.0,4.5659,0.0,19.321119999999997,0.0,0.0,0.01372,73.71606,0.0,2.1614999999999998,0.0,0.22171999999999997,0.0
S589,0.0,0.0,10.253530000000001,0.0,3.0912699999999997,0.0,0.0,0.01618,85.50483000000001,0.0,0.23850000000000002,0.0,0.89574,0.0
S58,2.77234,0.0,12.295410000000002,0.0,14.01093,0.0,0.0,0.0,66.45317999999997,0.0,0.62265,0.0,3.8454900000000003,0.0
S591,0.08920999999999998,0.0,2.9792899999999998,0.0,19.014339999999997,0.0,0.0,0.00911,75.45485000000002,0.0,1.30661,0.0,1.1466,0.0
S598,1.2203700000000002,0.0,21.612790000000004,0.00302,14.11647,0.0,0.0,0.0,62.54156000000002,0.0,0.50578,0.0,0.0,0.0
S59,5.03641,0.0,3.14933,0.0,7.03677,0.0,0.0,0.0,83.24477999999995,0.0,1.50234,0.0,0.00646,0.02393
S602,0.7941499999999999,0.0,6.1488700000000005,0.0,9.26836,0.0,0.0,0.0,78.6984,0.0,0.86311,0.0,4.22716,0.0
S604,0.0,0.0,10.271479999999999,0.0,2.52064,0.0,0.0,0.0,62.37594000000001,0.0,1.1885599999999998,0.0,23.635189999999998,0.00818
S614,0.0,0.0,11.304469999999998,0.0,5.14667,0.0,0.0,0.0,82.1389,0.0,0.79825,0.0,0.61173,0.0
S617,2.31788,0.0,2.10833,0.0,15.89417,0.0,0.0,0.0,57.695299999999996,0.0,17.91408,0.0,4.0702300000000005,0.0
S618,0.0,0.0,8.72138,0.0,13.605820000000001,0.0,0.0,0.0,74.54883,0.0,0.40322,0.0,2.7206900000000003,0.0
S628,2.96027,0.0,5.33223,0.0,30.22502,0.0,0.0,0.03266,57.727549999999994,0.0,1.29031,0.0,2.3555200000000003,0.07641999999999999
S643,7.4432,0.0,3.21863,0.0,31.753249999999998,0.0,0.0,0.0225,53.16515000000002,0.0,3.7471,0.0,0.65015,0.0
S655,0.02598,0.0,32.795840000000005,0.0,8.47733,0.0,0.0,0.0,57.93377,0.0,0.24569000000000002,0.0,0.5214,0.0
S77,2.79469,0.0,0.7816700000000001,0.0,9.91465,0.0,0.0,0.0,79.71262,0.0,0.38782000000000005,0.0,6.40855,0.0
S80,2.46789,0.0,11.694820000000002,0.0,9.30703,0.0,0.0,0.01404,75.71436000000003,0.0,0.5699199999999999,0.0,0.23190999999999998,0.0
S88,6.80243,0.0,3.2471299999999994,0.0,6.860940000000001,0.0,0.0,0.0,82.83024000000002,0.0,0.24441999999999997,0.0063100000000000005,0.008490000000000001,0.0
S92,0.0,0.0,1.7358900000000002,0.0,2.5530400000000006,0.0,0.0,0.0,58.35053,0.0,33.63578,0.0,3.67155,0.053169999999999995
