SampleID,k__Archaea|p__Euryarchaeota|c__Archaeoglobi,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deferribacteres|c__Deferribacteres,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes,k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes,k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname
MH0036,0,0.11284,0,0.04446,0.06246,0,39.82575,0,0,0,0,0,0.02418,0.01335,45.4652,2.06582,12.12134,0,0,0.03257,0.14797,0,0.07782,0,0,0,0.00622,0,0,0,0
MH0037,0,0,0,0.00725,0.46381,0,45.93336,0,0.00334,0,0,0,0.04732,0.12265,30.36295,0.04519,15.13292,0,0,1.32393,0,0,0.38043,0,0,0,6.17625,0,0.00057,0,0
MH0038,0,0,0,0.01861,0.90497,0,43.30101,0.02037,0.03845,0,0,0,0.02698,0.04017,54.00292,0.11513,0.43426,0,0,0.67204,0.11786,0,0.30084,0,0,0.00343,0.003,0,0,0,0
MH0039,0,0.00727,0,0.0231,1.16309,0,59.39051,0.11379,0,0,0,0,0.02512,0.0057,32.35958,1.10232,3.29416,0,0,2.05289,0.22013,0,0.00847,0,0,0,0.23388,0,0,0,0
MH0040,0,0,0,0.0139,0.82265,0,43.02796,0.01141,0,0,0,0,0.10584,0.30901,45.61037,0.0526,9.24646,0,0,0.0418,0,0,0.04032,0,0,0,0.7177,0,0,0,0
MH0041,0,0,0,0.01209,9.40077,0,35.47876,0,0,0,0,0,0.00657,0.35889,40.45553,1.47095,10.10921,0,0,1.4806,0.93731,0,0.16078,0,0,0,0.12853,0,0,0,0
MH0042,0,0.19762,0.0045,0.00575,4.96144,0,32.56945,0,0.02029,0.00138,0,0,0.07503,0.00075,57.10943,0.10807,3.29468,0,0,0.35583,0.16879,0,0.1533,0,0,0,0.9737,0,0,0,0
MH0043,0,0,0,0.01445,0.89339,0,45.80616,0.01537,0,0.00035,0,0,0.0576,0.02796,46.74746,0.02364,4.29568,0,0,0.44079,0.25701,0,0.29947,0,0,0,1.12063,0,0,0,0
MH0044,0,0,0,0.00662,0.80848,0,24.63877,0.0074,0.00911,0,0,0,0.0196,0.01644,69.93565,0.03511,4.21572,0,0.00395,0.07239,0.20386,0,0.017,0,0,0,0.00776,0,0.00215,0,0
MH0046,0,0,0,0.00848,0.24671,0,47.65924,0.02785,0.04415,0,0,0,0.00922,0.05784,42.09233,0.85734,6.16534,0,0,1.44046,1.05049,0,0.23206,0,0,0,0.0959,0,0.01261,0,0
MH0047,0,0,0,0,0.88494,0,58.23783,0.02157,0,0,0,0,0,0.09639,35.17579,1.55187,3.38358,0,0,0.17741,0.41901,0,0.05159,0,0,0,0,0,0,0,0
MH0048,0,0,0,0,2.35821,0,35.88746,0,0,0,0,0,0.01143,0.04463,57.95529,0.77309,0.2976,0,0,0.11903,0.8346,0,0,0.02607,0,0,1.69259,0,0,0,0
MH0049,0,0,0,0,0.56339,0,53.55398,0,0,0,0,0,0,0.02433,24.86481,0.01547,17.29658,0,0,3.46221,0.1961,0,0.02312,0,0,0,0,0,0,0,0
MH0051,0,0.07591,0,0.00872,0.11715,0,42.08156,0.01432,0.02281,0,0,0,0.00949,0.0182,50.95404,1.26401,4.13736,0,0,0.98013,0.28115,0,0.00417,0,0,0,0.031,0,0,0,0
MH0052,0,0.16507,0,0.01153,0.4703,0,23.03968,0,0,0,0,0,0,0.3191,65.7476,0.05724,6.94953,0,0,1.8242,1.11166,0,0.30407,0,0,0,0,0,0,0,0
MH0053,0,0.29592,0,0,3.26174,0,11.04064,0,0,0,0,0,0.0085,0.22785,77.1761,3.30145,4.05734,0,0,0.35102,0.20995,0,0.05806,0,0,0,0,0,0.01138,0,0
MH0054,0,0.10813,0,0.01178,1.8111,0,25.7967,0.00967,0,0,0,0,0.03843,0.01828,56.88003,0.21253,2.01644,0,0,2.8347,0,0,1.01171,0,0,0,9.25053,0,0,0,0
MH0055,0,0,0,0,1.05978,0,45.98759,0,0.02466,0,0,0,0.01896,0.1555,44.7427,0.60896,5.07922,0,0,1.93572,0.03162,0,0.35526,0,0,0,0,0,0,0,0
MH0057,0,0,0,0,0.37447,0,58.6484,0.20346,0.0184,0,0,0,0.0478,0.007,23.10029,0.38761,14.2136,0,0,2.25746,0.6391,0,0.00921,0,0,0,0.09321,0,0,0,0
MH0058,0,0.04619,0,0,0.81755,0,48.07243,0.04996,0,0,0.00421,0,0.02758,0.32249,42.40897,0.06032,3.12465,0,0,3.24329,0.39462,0,0.27851,0,0,0,1.14845,0,0.00078,0,0
MH0059,0,0.00352,0,0,2.42144,0,30.8463,0,0.00271,0,0,0,0.00636,0.05121,56.8276,2.01312,3.72812,0,0.01234,1.89204,0.0283,0,0.43015,0,0,0,1.73676,0,0,0,0
MH0060,0,0.64517,0.00743,0,1.06439,0,20.45918,0,0,0,0,0,0.03096,0.01038,54.51246,1.35282,4.78258,0,0,0.80207,0.19204,0,0.06499,0,0,0,16.07554,0,0,0,0
MH0061,0,0,0,0.01553,0.08659,0,72.01382,0.03187,0.04627,0,0,0,0.01689,0.04224,19.47288,0.09252,6.84565,0.00271,0,0,0.33422,0,0.99882,0,0,0,0,0,0,0,0
MH0062,0,0,0,0,3.26394,0,28.7605,0,0,0,0,0,0.00644,0.01226,57.48077,0.18405,6.51007,0.31259,0,2.67355,0.66016,0,0.12681,0,0,0,0,0,0.00887,0,0
MH0063,0,0.18232,0,0,0.54902,0,37.40232,0,0.04033,0,0,0,0.03218,0.07302,58.09461,0.98634,1.94188,0,0,0.38641,0.06357,0,0,0.24806,0,0,0,0,0,0,0
MH0064,0,0,0,0.02014,0.64422,0,62.56982,0.00827,0,0,0,0,0.02738,0.12983,25.52814,0.01817,9.00116,0,0,1.1462,0.22351,0,0.04197,0,0,0,0.64025,0,0.00095,0,0
MH0066,0,0.1683,0,0,4.34606,0,45.88771,0,0,0,0,0,0.04744,0.00571,45.76537,0.03463,0.08529,0,0,0.60079,0.5926,0,0.03681,0,0,0,2.42934,0,0,0,0
MH0067,0,0,0,0.00527,1.00499,0,60.51129,0.0865,0,0,0,0,0.00573,0.03353,30.83987,0.0346,4.57056,0,0,2.48159,0.31538,0,0,0,0,0,0.11025,0,0.00041,0,0
MH0069,0,0,0,0.00315,3.76269,0.003,22.98381,0.00517,0,0,0,0,0.00685,0.0507,72.11219,0.2873,0.08799,0,0,0.32438,0.36212,0,0.01067,0,0,0,0,0,0,0,0
MH0070,0,0.13291,0.00389,0,0.67033,0,33.51697,0.02448,0.02053,0,0,0,0.02162,0.41471,61.50722,0.02801,1.77247,0,0,1.11102,0.50055,0,0.14084,0,0,0,0.13446,0,0,0,0
MH0072,0,0,0,0.00438,1.31539,0,28.2853,0.10789,0.09937,0,0,0,0.02859,0.64385,55.46791,0.06814,9.64913,0.01709,0,0.21296,0,0,4.09998,0,0,0,0,0,0,0,0
MH0073,0,0,0,0,1.12097,0,39.10967,0.09592,0.03827,0,0,0,0,0.93661,42.41243,0.88184,9.15709,0.01504,0.01085,2.26209,0.05284,0.00298,3.87498,0,0,0,0.02307,0,0.00528,0,0
MH0074,0,0,0,0.04592,1.30357,0,65.07701,0,0.00231,0,0,0,0.0111,0.03034,23.38132,0.28219,7.50164,0,0,2.19684,0,0,0.1236,0,0,0,0.04413,0,0,0,0
MH0075,0,0.14825,0,0,1.04081,0,26.01542,0.00764,0,0,0,0,0.02531,0.01658,69.19038,0.04045,0.77797,0,0,1.95961,0.0647,0,0.23371,0,0,0,0.47917,0,0,0,0
MH0076,0,0,0,0,0.91838,0,50.25388,0.01871,0,0,0,0,0,1.11006,46.97166,0.05329,0.14108,0,0,0.23266,0.03079,0.03661,0.20129,0,0,0,0.03156,0,0,0,0
MH0077,0,0.05166,0,0.00656,0.89609,0,37.27212,0,0.01097,0,0.00741,0,0.01941,0.12931,51.25301,0.39468,8.34779,0,0,1.46151,0.12831,0,0.02117,0,0,0,0,0,0,0,0
MH0078,0,0.0219,0,0,0.3339,0,60.62174,0,0,0,0,0,0,0.94686,29.41566,1.10093,5.95115,0,0,0.67677,0,0,0.9283,0,0,0,0,0,0.0028,0,0
MH0079,0,1.93607,0,0,0.20342,0,43.82104,0,0,0,0,0,0,0,47.84138,0.40714,0.06858,0,0,0.31616,0.54904,0,4.85718,0,0,0,0,0,0,0,0
MH0080,0,0,0,0.00838,0.18707,0,39.67582,0,0,0,0,0,0.00911,0.0565,56.37618,0.23604,2.84028,0,0,0.32356,0.18445,0,0.01816,0,0,0,0.08444,0,0,0,0
MH0081,0,0.32971,0.00511,0.01305,0.64383,0,49.5444,0.01072,0,0,0,0,0.0213,0.00479,38.33753,1.82594,7.25423,0.00372,0,1.4492,0.45221,0,0.04774,0,0,0,0.05629,0,0.00025,0,0
MH0082,0,0.18194,0,0,0.70878,0,20.29331,0,0.01074,0,0,0,0.01427,0.19421,74.56468,1.35645,1.52132,0,0,0.67627,0.24442,0,0.15144,0,0,0,0.08215,0,0,0,0
MH0083,0,0,0,0.0404,1.97114,0,40.17299,0.00948,0,0,0,0,0.01883,0.23669,37.16667,1.24952,16.69129,0,0.01715,1.32561,0.76331,0.00083,0.0413,0,0,0,0.2948,0,0,0,0
MH0084,0,0,0,0,0.13523,0,81.29383,0.02928,0.01677,0,0.01506,0,0,0.01257,11.44796,0.29418,5.26175,0,0,1.31823,0.01348,0,0.14121,0,0,0,0.02045,0,0,0,0
MH0085,0,0,0,0,0.82483,0,62.21221,0.02052,0.028,0,0.00346,0,0.00453,0.02345,34.42087,0.01776,0.05924,0,0,1.89822,0.43759,0,0.04307,0,0,0,0,0,0.00621,0,0
MH0086,0,0,0,0,9.13494,0,15.32044,0.00606,0.00786,0,0,0,0.03615,2.59857,69.87361,0.40064,0.18389,0,0,0.30092,0.64437,0,1.33197,0,0,0,0.16058,0,0,0,0
MH0087,0,0,0,0,0.68976,0,80.81483,0.02064,0.01036,0,0,0,0,0.24975,5.89802,0.02694,9.69803,0,0,0.00624,0,0,0.36474,0,0,0,2.22068,0,0,0,0
MH0088,0,0,0,0,1.01493,0,27.04589,0.01187,0.00673,0.00026,0,0,0.00393,0.02538,68.5685,0.91014,1.91812,0.00052,0,0.0716,0.12849,0,0.16118,0,0,0,0.13247,0,0,0,0
MH0089,0,0,0,0.01278,2.60227,0,50.55559,0,0,0,0,0,0,0.01418,42.61983,0.65078,0.04067,0,0.01898,0.77068,0.68214,0,0.13747,0,0,0,1.89458,0,0,0,0
MH0091,0,0,0,0.00519,0.20317,0,59.04751,0,0,0,0,0,0.0113,0.0298,32.21624,0.306,4.86501,0,0,1.65266,0.67963,0,0.95862,0,0,0,0.0249,0,0,0,0
MH0092,0,0,0,0.00402,1.34641,0,40.92603,0,0,0,0,0,0.01312,0.00359,51.11022,0.33807,3.6752,0,0,1.80768,0.60326,0,0.00758,0,0,0,0.16482,0,0,0,0
MH0093,0,0,0,0,0.1147,0,44.65535,0,0,0,0,0,0,0.00789,17.23213,0.61736,0.04589,0,0,0.06366,0.00681,0,37.12937,0.12683,0,0,0,0,0,0,0
MH0094,0,0,0,0,0.12272,0,69.56603,0,0,0,0,0,0.00621,0.10837,20.61572,0.85455,7.02296,0,0,0.74647,0.89519,0,0.06106,0,0,0,0.00076,0,0,0,0
MH0095,0,0,0,0,0.3827,0,39.4073,0.01187,0,0,0,0,0,0.24745,49.39385,0.09185,0.02996,0,0,1.45514,1.10246,0,7.75968,0,0,0,0.11772,0,0,0,0
MH0096,0.00924,0.73907,0,0,0.13084,0,31.42915,0.00873,0,0,0,0,0.01002,0.11117,58.98446,1.67355,5.84443,0,0,0.14396,0.03542,0,0.26052,0.24169,0,0,0.37773,0,0,0,0
MH0097,0,0.7733,0,0.00908,0.66227,0,42.61072,0,0,0,0,0,0.00987,0.03905,29.64648,0.37848,10.40361,0,0,1.23152,0.64746,0,12.56015,0,0,0,1.02799,0,0,0,0
MH0098,0,0.03771,0,0,0.67424,0,38.90257,0,0,0,0,0,0.01123,0.05413,55.18075,4.58453,0.08604,0,0,0.41549,0.02759,0,0.02575,0,0,0,0,0,0,0,0
MH0099,0,0,0,0.00533,1.37406,0,39.06177,0,0,0,0,0,0.01159,0.11611,57.91971,0.05729,0.15538,0,0,0.12829,0.29796,0,0.16721,0,0,0,0.7053,0,0,0,0
MH0100,0,1.11836,0,0.01341,1.78724,0,19.73725,0,0,0,0,0,0,0.35558,66.30738,0.64632,5.01426,0,0,0.46138,0.33947,0,0.21728,0,0,0,4.0021,0,0,0,0
MH0101,0,0,0,0,1.83237,0,22.72182,0,0,0.01414,0,0,0.01706,0.1751,72.24566,1.46373,0.74863,0,0,0.16287,0.1302,0,0.48838,0,0,0,0,0,0,0,0
MH0102,0,0.53685,0,0,3.07695,0,35.91814,0,0,0,0,0,0.01567,0.33157,49.40183,5.29799,2.98226,0,0,0.97265,0.44102,0.00659,0.18042,0,0,0,0.83807,0,0,0,0
MH0103,0,0,0,0,0.60886,0,59.14547,0,0,0,0,0,0,0.06984,35.4112,0.06509,3.87046,0,0,0.62116,0.12565,0,0,0,0,0,0.08223,0,0,0,0
MH0105,0,0,0,0.01847,0.39907,0,66.46449,0,0,0,0,0,0,0.24571,27.282,0.20465,4.92402,0,0,0.38569,0.05181,0,0.02406,0,0,0,0,0,0,0,0
MH0106,0,0,0,0,0.39213,0,66.30932,0,0,0,0,0,0,0.02011,23.26546,0.01956,7.56171,0,0,0.64213,0.52082,0,0.28445,0,0,0,0.97882,0,0.0055,0,0
MH0107,0,1.14118,0,0,1.26232,0,13.1595,0,0,0,0,0,0.00555,0.34811,75.49791,0.04978,6.51097,0,0,0.82121,0.08063,0,0.06131,0,0,0,1.06149,0,0,0,0
MH0108,0,0,0,0,0.58209,0,75.86929,0,0,0,0,0,0,0,9.68624,0.39865,8.35788,0,0,4.50407,0.60053,0,0.00125,0,0,0,0,0,0,0,0
MH0110,0,0,0,0,0.3416,0,56.80838,0,0,0,0,0,0.01105,0.05635,25.57542,0.11648,13.41299,0,0,2.63233,0,0,0.00745,0,0,0,1.03796,0,0,0,0
MH0111,0,0,0,0,1.2216,0,22.66638,0,0,0,0,0,0,0.61998,68.12313,0.54365,5.23112,0,0,0.28909,0,0,1.0478,0,0,0,0.17024,0,0,0,0.08699
MH0113,0,0.01347,0,0.00652,0.08112,0,36.26805,0,0,0,0,0,0.00709,0.02133,62.64263,0.23861,0.08937,0,0,0.22023,0.39203,0,0.01954,0,0,0,0,0,0,0,0
MH0114,0,0,0,0,0.70132,0,65.57578,0,0,0,0,0,0.00446,0.06429,23.74234,0.2806,7.96017,0,0,1.48876,0.13524,0,0.04708,0,0,0,0,0,0,0,0
MH0115,0,2.50281,0,0.00787,5.00602,0,35.97026,0,0,0,0,0,0.01711,1.93102,50.31352,0.00317,2.11838,0,0,0.01381,0.177,0,1.93905,0,0,0,0,0,0,0,0
MH0116,0,0.47304,0,0,3.74512,0,44.24197,0,0,0,0,0,0,2.55578,44.87377,0.30674,2.73297,0,0.01419,0.09007,0.01145,0,0.07147,0,0,0,0.88347,0,0,0,0
MH0117,0,1.05577,0,0,0.8412,0,24.58725,0,0,0,0,0,0,0.32428,44.36626,3.94657,11.02228,0,0,1.08713,0.16461,0,0.6114,0,0,0,11.99325,0,0,0,0
MH0118,0,0,0,0,3.6053,0,14.36566,0,0,0.01012,0,0,0.00684,0.01493,49.32645,0.08135,32.13862,0,0,0.16428,0.26897,0,0.00922,0,0,0,0,0,0.00823,0,0
MH0119,0,0,0,0.00347,0.70378,0,79.93705,0,0,0,0,0,0.00377,0,13.74161,0.9559,0.01637,0,0,2.91476,0.28264,0,0.00509,0,0,0,1.43558,0,0,0,0
MH0120,0,0.3091,0,0,0.42167,0,68.41885,0,0,0,0,0,0.00812,0.10919,25.24642,1.93348,2.47546,0,0,0.89605,0.02314,0,0.07032,0,0,0,0.0882,0,0,0,0
MH0121,0,0,0,0,0.17919,0,40.35193,0,0,0,0,0,0,0.01085,24.69698,0.42722,0.01462,0,0,1.21009,0.02675,0.00329,33.07907,0,0,0,0,0,0,0,0
MH0122,0,0,0,0,2.01975,0,34.36005,0,0,0,0,0,0,0.36877,53.54639,0.23575,5.96765,0,0,1.69835,0,0,1.758,0,0,0,0.04532,0,0,0,0
MH0123,0,0.06141,0,0,1.17876,0,49.44552,0,0,0,0,0,0.01406,0.02474,44.42498,0.58189,0.035,0,0,3.82996,0.382,0,0.02167,0,0,0,0,0,0,0,0
MH0124,0,0.49178,0,0,0.68413,0,24.50066,0,0,0,0,0,0,0.0383,58.38806,0.51177,0.06517,0,0,0.43343,0.18608,0,2.03493,0,0,0,12.66201,0,0.00371,0,0
MH0125,0,0,0,0,0.81448,0,61.75651,0,0,0,0.00429,0,0.00561,0.12149,35.15161,0.02347,0.34196,0,0,0.35665,0.38864,0,0.05108,0,0,0,0.98418,0,0,0,0
MH0126,0,1.67553,0,0,0.95383,0,9.53899,0,0,0,0,0,0,0.01976,71.29126,2.02833,0.10788,0.01199,0,0.26941,0.03621,0.00265,0.07847,0,0,0,13.98573,0,0,0,0
MH0127,0,0,0,0,0.32451,0,40.83352,0,0,0,0,0,0,0.00268,50.29218,0.34879,8.03284,0,0,0.08911,0,0,0,0,0,0,0.07638,0,0,0,0
MH0128,0,0,0,0,2.05963,0,60.63492,0,0.01532,0,0,0,0,0.00111,34.55243,0.24187,0,0,0,1.59653,0,0,0.89818,0,0,0,0,0,0,0,0
MH0130,0,0.08104,0,0,0.21819,0,59.7874,0.00845,0,0,0,0,0,0.06263,36.38199,0.62969,2.44931,0,0.0153,0.06136,0.17603,0,0.00126,0.02028,0,0,0.10708,0,0,0,0
MH0131,0,5.75054,0.0041,0,16.06199,0,16.76052,0,0,0,0,0,0.00569,0.02422,54.34554,2.7637,0.00767,0.08295,0,0.31854,3.75068,0,0.12389,0,0,0,0,0,0,0,0
MH0132,0,4.2353,0.02548,0.00651,2.77683,0,8.87085,0,0,0,0,0,0.01416,0.05657,72.52604,1.0889,9.87551,0,0,0.14525,0.16446,0.02369,0.02238,0.16807,0,0,0,0,0,0,0
MH0133,0,0,0,0.01829,0.5591,0,63.07636,0,0,0,0,0,0,0.01711,28.26665,0.0207,5.99679,0,0,0.00596,0.81642,0,1.22263,0,0,0,0,0,0,0,0
MH0134,0,0,0,0.00575,1.47023,0,39.20711,0,0,0,0,0,0,1.57695,37.75694,0.07966,17.06887,0,0,1.88828,0.37406,0,0.11542,0,0,0,0.45676,0,0,0,0
MH0135,0,0.18806,0,0.00787,2.52367,0,43.7672,0,0,0,0,0,0.00856,0.55697,44.08986,2.34239,2.19499,0,0,3.02845,0.15177,0,0.61049,0,0,0,0.52973,0,0,0,0
MH0136,0,0,0,0,3.82361,0,61.23345,0,0,0,0.00448,0,0.02345,0.02422,20.67834,0.01384,11.28893,0,0,2.03991,0.86979,0,0,0,0,0,0,0,0,0,0
MH0137,0,0,0,0,0.57377,0,34.27114,0,0,0,0,0,0,0.70312,58.1996,1.22017,4.29243,0,0,0.46904,0.12323,0,0.14751,0,0,0,0,0,0,0,0
MH0138,0,0.02718,0,0,1.7678,0,71.60303,0,0,0,0,0.01462,0,0.56845,11.09522,0.4631,14.32776,0,0,0.06007,0.01747,0,0.05535,0,0,0,0,0,0,0,0
MH0140,0,0,0,0,1.601,0,31.72855,0,0,0,0,0,0.00489,0.02185,62.12297,0.21759,0.02108,0,0,0.90352,0.12197,0,0.72169,0,0,0,2.5349,0,0,0,0
MH0141,0,0,0,0.01234,0.24551,0,38.28585,0,0,0,0.00349,0,0,0.24007,50.30032,1.86396,5.54627,0,0,0.75067,0.59301,0,2.1585,0,0,0,0,0,0,0,0
MH0144,0,0,0,0,0.61761,0,63.73803,0,0,0,0,0,0,0.36227,33.4315,0.91474,0.10472,0,0,0.4951,0.16436,0.00407,0.16331,0,0,0,0.00429,0,0,0,0
MH0147,0,0,0,0,2.14844,0,46.57186,0,0,0,0,0,0.00448,0.07468,37.00872,0.09775,0.05275,0,0,4.03527,0.34229,0,0.17994,0,0,0,9.48383,0,0,0,0
MH0148,0,0.46246,0,0,0.51409,0,28.01722,0,0,0,0,0,0,0.01562,66.22305,1.35888,0.04178,0,0,1.80105,0.00894,0,0,0.06744,0,0,1.48948,0,0,0,0
MH0149,0,0.17338,0,0.00439,0.2445,0,40.23227,0,0,0,0,0,0.00954,0.09483,56.8532,1.35424,0.03869,0,0,0.20719,0.34195,0,0.08812,0,0.35654,0,0.00117,0,0,0,0
MH0150,0,0,0,0,1.56186,0,57.00432,0,0,0,0,0,0.00332,0.02876,34.51713,0.10959,0.01412,0,0,4.27522,2.16725,0,0.00063,0,0,0,0.31755,0,0.00024,0,0
MH0151,0,0.2502,0,0,0.9159,0,38.40931,0,0,0,0,0,0.01113,0.57885,53.21628,2.98376,1.24277,0,0,1.07888,1.16447,0,0.14847,0,0,0,0,0,0,0,0
