SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
CON-011,0.0,0.0,0.0,0.0,5.29803,0.26837,0.0,62.792500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10617,25.834860000000006,0.9704099999999999,0.015569999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.16633,0.0,0.0,0.43084,0.0,0.0,0.0,0.0,0.0,2.9694899999999995,0.0,0.08036,0.0,0.0,0.0,0.0,0.06712,0.0,0.0,0.0
CON-012,0.0,0.0,0.0,0.0,0.13712,0.11728,0.0,42.238279999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9271999999999999,29.718799999999995,2.5086,13.935749999999999,0.011770000000000001,0.0,0.0,0.0,0.0,0.0,2.5493099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02955,0.0,2.8263599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-013,0.0,0.0,0.0,0.0,0.6198800000000001,0.18083,0.0,62.38174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06566,10.322330000000001,0.0373,0.017460000000000003,0.22134,0.0,0.0,0.0,0.0,0.0,0.80914,0.0,0.0,0.022289999999999997,0.0,0.0,0.0,0.0,0.0,25.303079999999998,0.0,0.018930000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-014,0.0,0.0,0.0,0.0,0.063,0.37151999999999996,0.0,76.04705000000001,0.0,0.0,0.0010400000000000001,0.0,0.0,0.0,0.0,0.00031,16.814679999999996,0.48977000000000004,5.06733,0.0,0.0,0.0,0.0,0.0,0.0,0.03872,0.0,0.0,0.1396,0.0,0.0,0.0,0.0,0.0,0.86281,0.0,0.10418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-015,0.0,0.0,0.0,0.02007,1.02875,0.28526,0.0,10.863549999999998,0.0,0.0,0.042789999999999995,0.0,0.0,0.0,0.05159,1.51413,63.85156000000001,0.45052,0.67693,0.00983,0.0,0.0,0.0,0.0,0.0,1.4157399999999998,0.0,0.03862,0.0045,0.0,0.0,0.0,0.0,0.0,10.874899999999998,0.0,8.8713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-016,0.0,0.0,0.0,0.01226,13.774690000000001,0.5844500000000001,0.0,26.41972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7791600000000001,24.628220000000006,0.07196000000000001,32.04808,0.00053,0.0,0.0,0.0,0.0,0.0,0.23942,0.0,0.0,0.017159999999999998,0.01162,0.0,0.0,0.0,0.0,1.13412,0.0,0.27860999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-017,0.0,0.0,0.0,0.0173,0.23947,0.1716,0.0,47.87712,0.0,0.0,0.01769,0.0,0.0,0.0,0.00714,0.29588,37.66235,0.15480000000000002,9.806180000000001,2.3800399999999997,0.0,0.0,0.0,0.0,0.0,0.33326,0.0,0.0,0.17765,0.0,0.0,0.0,0.0,0.0,0.8309899999999999,0.0,0.02854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-018,0.0,0.0,0.0,0.0,0.09641,0.12346999999999998,0.0,85.68756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04962,7.56717,0.007549999999999999,0.0158,0.14768,0.0,0.0,0.0,0.0,0.0,0.45860999999999996,0.0,0.0,0.50419,0.0,0.0,0.0,0.0,0.0,5.332090000000001,0.0,0.009859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-019,0.0,0.0,0.0,0.00498,0.93258,0.08829,0.0,78.96264000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8254699999999999,14.759019999999998,0.33171,0.13325,2.18211,0.0,0.0,0.0,0.0,0.0,1.12483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6550900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-020,0.01711,0.0,0.0,0.0,0.0,0.18199,0.0,83.65028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04571,13.13365,0.12022000000000001,2.5423199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.16304,0.015019999999999999,0.0,0.10031,0.0,0.0,0.0,0.0,0.0,0.02034,0.0,0.00186,0.0,0.0,0.0,0.0,0.0,0.0,0.008140000000000001,0.0
CON-021,0.0,0.0,0.0,0.0,0.78338,0.6085400000000001,0.0,30.44735,0.0,0.0,0.014669999999999999,0.0,0.0,0.0,0.00185,0.17057,40.3636,0.33153,26.310920000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21208000000000002,0.0,0.0,0.0,0.0,0.0,0.7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-022,0.0,0.0,0.0,0.013090000000000001,0.30362,0.1331,0.0,66.67149000000002,0.0,0.0,0.007670000000000001,0.0,0.0,0.0,0.00696,0.12940000000000002,24.043520000000004,0.027719999999999998,6.18549,0.0,0.0,0.0,0.0,0.0,0.0,0.68718,0.0,0.01077,0.7108099999999999,0.0,0.01395,0.0,0.0,0.0,0.85769,0.0,0.19757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-023,0.0,0.0,0.0,0.0,1.77142,0.41439000000000004,0.0,64.61707,0.00701,0.0,0.0,0.0,0.0,0.0,0.0,0.02033,27.422560000000004,1.4057799999999998,0.77635,0.0134,0.0,0.0,0.0,0.0,0.0,1.14431,0.0,0.0,0.5483699999999999,0.0,0.0,0.0,0.0,0.0,1.85903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-026,0.0,0.0,0.0,0.0049,0.16165000000000002,0.49249999999999994,0.0,41.61797000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00215,0.22685000000000002,54.77853999999999,0.1633,0.59022,0.0,0.0,0.0,0.0,0.0,0.0,0.36961,0.013059999999999999,0.0,0.35900999999999994,0.0,0.0,0.0,0.0,0.0,0.21047,0.0,0.5714100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.43833,0.0
CON-027,0.0,0.0,0.0,0.0,0.0421,0.08992,0.0,65.72238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027920000000000004,6.005520000000001,0.0,1.36453,0.0,0.0,0.0,0.0,0.0,0.0,0.06997,0.0,0.0,0.02235,0.0,0.0,0.0,0.0,0.0,26.6465,0.0,0.00878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-028,0.0,0.0,0.0,0.0,0.01822,0.31294,0.0,42.095980000000004,0.0,0.0,0.00239,0.0,0.0,0.0,0.06345,0.9236599999999999,38.336870000000005,0.8746700000000001,1.05345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08642000000000001,0.0,0.0,0.0,0.0,0.0,16.02576,0.0,0.20619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-029,0.0,0.0,0.0,0.02871,6.18493,0.60762,0.0,16.7021,0.0,0.0,0.02756,0.0,0.0,0.0,0.06988,0.30798,68.03256999999999,0.0563,1.4279799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.10561,0.0,0.0,0.10967,0.0,0.0,0.0,0.0,0.0,5.5888800000000005,0.0,0.7502099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-031,0.0,0.0,0.0,0.010910000000000001,7.543730000000001,0.010430000000000002,0.00041,38.59872000000001,0.0,0.0,0.15877,0.0,0.0,0.0,0.02391,0.7089199999999999,51.28698999999999,0.017439999999999997,0.22065,0.0,0.0,0.0,0.0,0.0,0.0,0.04976,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.76641,0.0,0.18086,0.41822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-032,0.0259,0.0,0.0,0.0,0.0,0.32237,0.0,84.74423999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07101,11.2908,0.00078,0.03554,0.0,0.0,0.0,0.0,0.0,0.0,0.37443,0.0,0.0,2.01072,0.0,0.0,0.0,0.0,0.0,0.09966999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02454,0.0
CON-033,0.0,0.0,0.0,0.0,0.26671,0.14048,0.0,73.24146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,20.954670000000004,0.03803,3.53409,0.0,0.0,0.0,0.0,0.0,0.0,0.85609,0.0,0.0,0.9036000000000001,0.0,0.0,0.0,0.0,0.0,0.048960000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01515,0.0
CON-034,0.0,0.0,0.0,0.0,0.0057,0.06767,0.0,76.35765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036469999999999995,21.559829999999998,0.07314999999999999,0.10182999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.11539999999999999,0.0,0.0,1.27969,0.0,0.0,0.0,0.0,0.0,0.21256000000000003,0.0,0.16367000000000004,0.0,0.0,0.0,0.0,0.01053,0.0,0.0159,0.0
CON-035,0.0,0.0,0.0,0.0,2.7170099999999997,3.1267899999999997,0.0,35.30489000000001,0.0,0.0,0.0008900000000000001,0.0,0.0,0.0,0.00065,1.1569,16.40689,0.32822999999999997,40.268179999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.05771,0.0,0.0,0.0015199999999999999,0.0,0.0,0.0,0.0,0.0,0.62174,0.0,0.0,0.0,0.0,0.0,0.0,0.00856,0.0,0.0,0.0
CON-036,0.0,0.0,0.0,0.007259999999999999,0.01877,0.5192,0.0,55.183310000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26819,36.97795,0.045110000000000004,2.34786,0.15162,0.0,0.0,0.0,0.0,0.0,0.4053,0.0,0.0,0.25743000000000005,0.0,0.0,0.0,0.0,0.0,1.7242,0.0,0.03557,0.0,0.0,0.0,0.0,0.0,0.0,2.0582599999999998,0.0
CON-037,0.014100000000000001,0.0,0.0,0.0,0.20496,0.41357,0.0,90.52674999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53086,5.902920000000001,0.00939,0.36817999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.21038,0.0,0.0,0.12063,0.0,0.0,0.0,0.0,0.0,0.23427000000000003,0.0,0.46395000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-038,0.0,0.0,0.0,0.00896,8.57327,1.36803,0.0,59.97253000000002,0.0,0.0,0.00716,0.0,0.0,0.0,0.00329,0.20164,23.99662,0.66719,0.17771,0.0,0.0,0.0,0.0,0.0,0.0,3.73737,0.0,0.0,0.12002,0.0,0.0,0.0,0.0,0.0,1.14031,0.0,0.02385,0.0,0.0,0.0,0.0,0.0,0.0020399999999999997,0.0,0.0
CON-039,0.0,0.0,0.0,0.0,2.09251,1.3738700000000001,0.0,53.60514,0.0,0.0,0.011989999999999999,0.0,0.0,0.0,0.00295,0.7072899999999999,12.419789999999995,0.77097,3.0671,1.96081,0.0,0.0,0.0,0.0,0.0,0.23688,0.0,0.0,1.6407399999999999,0.0028699999999999997,0.0,0.0,0.0,0.0,22.098589999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847
CON-040,0.0,0.0,0.0,0.01737,11.28655,0.21691000000000002,0.0,19.1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78405,27.493349999999992,0.0,20.85967,0.0,0.0,0.0,0.0,0.0,0.0,2.51751,0.0,0.00474,0.71415,0.0,0.0,0.0,0.0,0.0,0.60504,0.0,0.28210999999999997,0.0,0.0,0.0,0.0,0.01166,0.00951,0.03973,0.0
CON-041,0.0,0.0,0.0,0.0,0.0,1.0474299999999999,0.0,67.00545000000001,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.16108,21.354059999999997,0.36672000000000005,0.05822000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4576299999999999,0.0,0.0,0.47148999999999996,0.0,0.0,0.0,0.0,0.0,7.2249,0.0,0.04093,0.0,0.0,0.0,0.0,0.0,0.0,1.80487,0.0
CON-042,1.28245,0.0,0.0042,0.0,0.17661000000000002,0.12966,0.0,55.198049999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14818,10.317519999999998,0.55558,0.33183999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.17013,0.0,0.0,0.21776,0.00605,0.0,0.0,0.0,0.0,31.199379999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.2626,0.0,0.0,0.0
CON-043,0.00271,0.0,0.0,0.0,1.31198,0.8748600000000001,0.0,54.91583,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0011300000000000001,0.27573,25.612500000000008,1.27823,0.8766600000000001,0.04514,0.0,0.0,0.0,0.0,0.0,0.9678599999999999,0.0,0.0,1.68326,0.0,0.0,0.0,0.0,0.0,10.36086,0.0,0.00744,0.0,0.0,0.0,0.0,0.007559999999999999,0.0,1.77535,0.0
CON-044,0.005830000000000001,0.0,0.0,0.0,4.555420000000001,0.44436000000000003,0.0,50.87422999999999,0.0,0.0,0.00131,0.0,0.0049,0.0,0.0,0.21206,21.9894,0.7378400000000002,9.75486,0.0,0.0,0.0,0.0,0.0,0.0,1.21957,0.0,0.0,0.10888999999999999,0.0,0.017669999999999998,0.0,0.0,0.0,10.067400000000001,0.0,0.00624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-045,0.0,0.0,0.0,0.0,2.6987,0.08938000000000001,0.0,47.48244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007540000000000001,45.971689999999995,1.47526,0.0,0.004370000000000001,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.7891,0.0,0.0,0.0,0.0,0.0,1.47822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-046,0.0,0.0,0.0,0.0,3.02355,0.05559000000000001,0.0,89.47820999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17576,6.021820000000001,0.043739999999999994,0.050140000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.65672,0.01227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-047,0.0,0.0,0.0,0.0,0.35824,0.12945,0.0,62.244879999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01546,25.83734,0.016390000000000002,10.144680000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01605,0.01685,0.0,0.42615000000000003,0.0,0.0,0.0,0.0,0.0,0.02627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76826,0.0
CON-048,0.0,0.0,0.0,0.0029100000000000003,0.24350000000000002,0.05314,0.0,65.48804000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317000000000001,12.911040000000003,0.08687,0.02062,0.10253999999999999,0.0,0.0,0.0,0.0,0.0,0.12047,0.0,0.0,0.53419,0.0,0.0,0.0,0.0,0.0,20.3215,0.01469,0.01018,0.015,0.0,0.0,0.0,0.0,0.0,0.00212,0.0
CON-049,0.0,0.0,0.0,0.00236,0.56049,0.3896,0.0,52.440569999999994,0.0,0.0,0.00359,0.0,0.0,0.0,0.0,0.23800999999999997,44.52258999999999,0.19213000000000002,0.17553,0.09927000000000001,0.0,0.0,0.0,0.0,0.0,0.14477,0.0,0.0,0.5435,0.0,0.0,0.0,0.0,0.0,0.5791299999999999,0.0,0.10844000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-050,0.0,0.0,0.0,0.0,0.31248000000000004,0.15997999999999998,0.0,68.71629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26936,22.24364,0.3488800000000001,5.7998,0.26523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
