SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
HD-83,0.0,0.0,13.73416,42.339019999999984,0.0,0.0,0.0,40.042849999999994,0.05934,3.81839,0.0,0.0,0.0,0.00626,0.0
HD-8,0.0,0.0,4.10324,46.095049999999986,0.0,0.0,0.0033399999999999997,48.26555,0.0,1.3023299999999998,0.0,0.0,0.0,0.23046999999999998,0.0
HD-9,0.0,0.0,1.64436,77.87729999999999,0.0,0.0,0.0,15.868989999999997,0.0,2.2063200000000003,0.0,0.0,0.0,2.40305,0.0
HV-10,0.0,0.0,0.23287,50.412409999999994,0.0,0.0,0.0,41.398129999999995,0.0,7.68931,0.0,0.0,0.0,0.26726,0.0
HV-11,0.009040000000000001,0.0,0.36278,40.73521,0.0,0.0,0.0,48.84710999999999,5.21404,4.8318,0.0,0.0,0.0,0.0,0.0
HV-12,0.0,0.0,0.9255500000000001,69.94632,0.0,0.0,0.0,27.07013,0.054329999999999996,2.00368,0.0,0.0,0.0,0.0,0.0
HV-13,0.0,0.0,0.03473,63.92232,0.0,0.0,0.0,35.216779999999986,0.25493000000000005,0.57119,0.0,0.0,0.0,0.0,0.0
HV-14,0.0,0.0,0.07334,39.23537,0.0,0.0,0.0,58.209779999999995,0.0,2.4815099999999997,0.0,0.0,0.0,0.0,0.0
HV-15,0.0,0.0,0.17520000000000002,83.06810000000002,0.0,0.0,0.0,16.28764,0.0,0.44016999999999995,0.0,0.0,0.0,0.02889,0.0
HV-16,0.0,0.0,0.01388,79.80512999999999,0.0,0.0,0.0,19.382519999999996,0.008,0.79047,0.0,0.0,0.0,0.0,0.0
HV-17,0.0,0.0,0.28281,91.86827,0.0,0.0,0.0,6.27558,0.00974,1.55924,0.0,0.004379999999999999,0.0,0.0,0.0
HV-18,0.0,0.01571,0.5500799999999999,76.83672999999999,0.0,0.0,0.0,20.519439999999996,0.0,2.07805,0.0,0.0,0.0,0.0,0.0
HV-19,0.0,0.0,0.03987,45.455870000000004,0.0,0.0,0.0,43.246570000000006,0.4094,10.848289999999999,0.0,0.0,0.0,0.0,0.0
HV-1,0.0,0.0,0.24383,16.241819999999997,0.0,0.0,0.0,81.57859000000002,0.5214,1.41438,0.0,0.0,0.0,0.0,0.0
HV-20,0.0,0.0,1.0868799999999998,49.48671,0.0,0.0,0.0,44.44496,0.5232600000000001,3.51881,0.0,0.0,0.0,0.93935,0.0
HV-21,0.0,0.0,0.25669000000000003,58.872899999999994,0.0,0.0,0.0,34.08956999999999,0.02327,6.757549999999999,0.0,0.0,0.0,0.0,0.0
HV-22,0.0,0.0,0.02665,61.703999999999986,0.0,0.0,0.0,36.278990000000015,0.09117,1.8992,0.0,0.0,0.0,0.0,0.0
HV-23,0.0,0.0,0.27763,49.40281999999999,0.0,0.0,0.0,45.93731,1.4987,2.7155500000000004,0.0,0.16801,0.0,0.0,0.0
HV-24,0.009909999999999999,0.0,0.89867,46.31253999999999,0.0,0.0,0.0,43.24934,1.845,7.6845799999999995,0.0,0.0,0.0,0.0,0.0
HV-25,0.0,0.0,0.12405999999999999,75.91618,0.0,0.0,0.0,20.192109999999996,0.20498000000000002,3.4939799999999996,0.0,0.0,0.0,0.06869,0.0
HV-26,0.27082,0.0,2.98733,45.62039000000001,0.00201,0.0,0.0,40.28333,0.01878,10.457619999999999,0.0,0.0,0.0,0.35971,0.0
HV-27,0.0,0.0,9.22603,34.42477999999999,0.0,0.0,0.0,36.91186,12.266800000000002,7.1705499999999995,0.0,0.0,0.0,0.0,0.0
HV-28,0.0,0.0,4.42931,51.764,0.0,0.0,0.01804,41.90852,0.0,1.85376,0.0,0.0,0.0,0.02638,0.0
HV-29,0.0,0.0,0.7307600000000001,23.95040000000001,0.0,0.0,0.0,73.29780999999998,0.47546000000000005,1.54339,0.0,0.0,0.0,0.00216,0.0
HV-2,0.0,0.0,0.08451,53.08976999999998,0.0,0.0,0.0,40.8931,1.90432,4.02683,0.0,0.0,0.0,0.00149,0.0
HV-30,0.0,0.0,0.034210000000000004,80.70654,0.0,0.0,0.0,15.733270000000001,0.00978,3.51625,0.0,0.0,0.0,0.0,0.0
HV-31,0.0,0.0,0.54679,56.521109999999986,0.0,0.0,0.0,42.04644,0.0,0.8856500000000002,0.0,0.0,0.0,0.0,0.0
HV-3,0.0,0.0,0.06124,78.38740000000003,0.0,0.0,0.0,17.876549999999995,1.02874,2.6460899999999996,0.0,0.0,0.0,0.0,0.0
HV-4,0.0,0.0,0.9681900000000001,49.88705999999999,0.0,0.0,0.0,47.84979,0.0,1.29498,0.0,0.0,0.0,0.0,0.0
HV-5,0.0,0.0,0.07551,81.01728999999997,0.0,0.0,0.0,16.243269999999995,0.20205,2.4619099999999996,0.0,0.0,0.0,0.0,0.0
HV-6,0.0,0.0,0.41686,39.43494999999999,0.0,0.0,0.0,54.202450000000006,0.0,5.9321399999999995,0.0,0.00451,0.0,0.00908,0.0
HV-7,0.0,0.0,0.80778,57.885859999999994,0.0,0.0,0.0,34.27661,0.0,1.23399,0.0,0.0,0.0,5.79576,0.0
HV-8,1.3349600000000001,0.0,0.62881,45.071369999999995,0.0,0.0,0.0,48.78976,0.0,3.0282700000000005,0.0,0.0,0.0,1.14687,0.0
HV-9,0.0,0.0,0.01976,80.23474,0.0,0.0,0.0,19.134599999999995,0.0,0.6109099999999998,0.0,0.0,0.0,0.0,0.0
LD-10,0.0,0.0,0.23932000000000003,65.23998999999998,0.0,0.0,0.0,22.708200000000005,0.5277499999999999,11.28364,0.0,0.0,0.0,0.0011099999999999999,0.0
LD-11,0.0,0.0,0.11738999999999998,53.50149000000001,0.0,0.0,0.0,45.67143,0.0,0.66314,0.0,0.044910000000000005,0.0,0.0016600000000000002,0.0
LD-12,0.0,0.0,0.08105,55.68967000000001,0.0,0.0,0.0,42.957499999999996,0.0,1.2717399999999999,0.0,0.0,0.0,0.0,0.0
LD-13,0.0,0.0,0.02001,87.16009999999999,0.0,0.0,0.0,10.360399999999998,0.0018800000000000002,2.09917,0.0,0.0,0.0,0.35843,0.0
LD-14,0.0,0.0,0.06903999999999999,62.893130000000006,0.0,0.0,0.0,33.11179999999998,0.0,3.92171,0.0,0.00436,0.0,0.0,0.0
LD-15,0.039060000000000004,0.0,0.22572,50.54414999999999,0.0,0.0,0.0,43.70632,0.00371,5.394219999999999,0.0,0.0,0.0,0.08684,0.0
LD-17,0.06976,0.0,0.12687,65.89589000000001,0.00123,0.0,0.0,25.400309999999994,0.00425,8.501700000000001,0.0,0.0,0.0,0.0,0.0
LD-18,0.0,0.0,0.17498000000000002,4.22731,0.0,0.0,0.0,1.7161999999999993,0.7993899999999999,93.08213000000002,0.0,0.0,0.0,0.0,0.0
LD-19,0.0,0.0,0.12322,69.34209,0.0,0.0,0.0,23.187289999999997,0.019459999999999998,7.327909999999999,0.0,0.0,0.0,0.0,0.0
LD-1,0.0,0.0,0.051359999999999996,36.64593,0.0,0.0,0.0,62.17920999999998,0.056479999999999995,1.0670299999999995,0.0,0.0,0.0,0.0,0.0
LD-20,0.0,0.0,0.14850999999999998,52.622830000000015,0.0,0.0,0.0,30.55553,1.39246,15.276689999999999,0.0,0.0,0.0,0.00394,0.0
LD-21,0.0,0.0,0.03028,55.39507,0.0,0.00391,0.0,36.281359999999985,0.31284,7.976570000000001,0.0,0.0,0.0,0.0,0.0
LD-22,0.0,0.00216,0.042269999999999995,65.65954999999998,0.0,0.0,0.00235,21.473219999999998,0.0,3.88179,0.0,0.07076,0.0,8.86797,0.0
LD-23,0.0,0.0,0.7867,17.3047,0.0035,0.0,0.0,55.41823000000001,0.5176,25.96803,0.0,0.0,0.0,0.0012699999999999999,0.0
LD-24,0.0,0.0,0.79117,40.565859999999994,0.0,0.0,0.0,57.50068000000001,0.15262,0.9871500000000001,0.0,0.00165,0.0,0.0008699999999999999,0.0
LD-25,0.32883,0.0,1.1958,61.43534999999999,0.0,0.0,0.0,33.03406999999999,0.0,3.9525099999999997,0.0,0.04732,0.0,0.00613,0.0
LD-26,0.0,0.0,0.4130600000000001,51.34053,0.00057,0.0,0.0,35.74238999999999,1.32923,11.14861,0.0,0.0,0.0,0.02562,0.0
LD-27,0.0,0.0,0.20322,49.81906,0.0,0.0,0.0,46.26082000000001,0.31636,3.3913399999999996,0.0,0.0,0.0,0.0092,0.0
LD-28,0.0,0.0,0.28079,15.43954,0.0,0.0,0.0,8.916459999999999,5.207879999999999,70.0585,0.0,0.0,0.0,0.09684,0.0
LD-29,0.0,0.0,0.6363300000000001,65.35997999999998,0.0,0.0,0.0,30.66019,0.08577,2.9959000000000002,0.0,0.0,0.0,0.26183,0.0
LD-2,0.0,0.0,1.4484599999999999,32.87968,0.00364,0.0,0.0,46.77282,0.50174,18.388810000000003,0.0,0.0,0.0,0.0049,0.0
LD-30,0.0,0.0,0.3323099999999999,59.47097000000001,0.00823,0.0,0.0,34.32085999999999,0.00064,0.93606,0.0,0.02504,0.0,4.90589,0.0
LD-31,0.0,0.0,0.88407,52.377810000000004,0.0,0.0,0.01253,34.05704,0.0,12.658850000000001,0.0,0.0,0.0,0.00972,0.0
LD-32,0.0,0.0,0.05738000000000001,48.352059999999994,0.0,0.0,0.0,36.37837000000001,0.37601,14.836160000000003,0.0,0.0,0.0,0.0,0.0
LD-34,0.039139999999999994,0.0,3.9616700000000002,54.57555,0.0,0.0,0.00539,38.39672999999999,0.0,3.02152,0.0,0.0,0.0,0.0,0.0
LD-35,0.0,0.0,3.15331,43.150600000000004,0.0049,0.0,0.0,20.49471999999999,0.0013,2.27014,0.0,0.0,0.0,30.925009999999997,0.0
LD-36,0.0,0.0,0.20057999999999998,53.12953999999999,0.0,0.0,0.0,44.486560000000004,0.00238,2.1809,0.0,0.0,0.0,0.0,0.0
LD-37,0.0,0.0,0.24092,34.82344000000002,0.0,0.0,0.0,44.55667,11.00156,9.37744,0.0,0.0,0.0,0.0,0.0
LD-38,0.0,0.0,1.1092499999999998,42.22104000000001,0.0,0.0,0.0,50.310739999999996,0.34181000000000006,6.0171800000000015,0.0,0.0,0.0,0.0,0.0
LD-39,0.0,0.0,0.9837500000000001,53.25910000000001,0.0,0.0,0.0,45.616859999999996,0.0027199999999999998,0.13749999999999998,0.0,0.0,0.0,0.0,0.0
LD-3,0.0,0.0,0.10803,63.90901,0.0010299999999999999,0.0,0.0,33.31455,1.3572799999999998,1.31011,0.0,0.0,0.0,0.0,0.0
LD-40,0.0,0.0,2.24595,47.01464000000001,0.0,0.0,0.0,34.9888,0.10919000000000001,15.581279999999998,0.0,0.0,0.0,0.060129999999999996,0.0
LD-41,0.0,0.0,0.25994,81.16154999999999,0.0014199999999999998,0.0,0.0,16.032049999999998,0.00043,2.21582,0.0,0.0,0.0,0.32874000000000003,0.0
LD-42,0.0,0.0,1.0702800000000001,65.38510000000001,0.0,0.0,0.0,30.388850000000005,0.0,2.3104600000000004,0.0,0.0,0.0,0.8453299999999999,0.0
LD-43,0.0,0.0,0.20065,53.02040000000001,0.00318,0.0,0.0,40.591710000000006,0.15058,3.7731000000000003,0.0,0.0,0.0,2.26038,0.0
LD-44,0.0,0.0,0.58837,33.59533999999999,0.0,0.0,0.0,57.214850000000006,0.58053,8.020889999999998,0.0,0.0,0.0,0.0,0.0
LD-46,0.0,0.0,0.43490000000000006,87.13034000000002,0.0,0.0,0.0,10.60695,0.0,1.8078100000000001,0.0,0.0,0.0,0.020040000000000002,0.0
LD-47,0.0,0.0,0.15126,36.73515999999999,0.0,0.0,0.0,55.92513000000003,0.01207,3.3051600000000003,0.0,0.0,0.0,3.8712400000000002,0.0
LD-48,0.0,0.0,0.15814000000000003,61.76443,0.0,0.0,0.0,29.997910000000005,0.00353,8.07601,0.0,0.0,0.0,0.0,0.0
LD-49,0.0,0.0,1.8574800000000005,65.79902000000001,0.0,0.0,0.0,30.600169999999995,0.22505,1.4992799999999997,0.0,0.0,0.0,0.01811,0.0009199999999999999
LD-4,0.0,0.0,0.21090000000000003,52.89613999999999,0.0,0.0,0.0,44.04081000000001,0.01995,2.83213,0.0,0.0,0.0,0.0,0.0
LD-50,0.0,0.0,0.40756,32.63446,0.0,0.0,0.0,28.70882,0.0016300000000000002,38.24457,0.0,0.0,0.0,0.00294,0.0
LD-51,0.0,0.0,0.21814,46.30005999999999,0.00181,0.0,0.0,33.597010000000004,0.89144,18.989279999999997,0.0,0.0,0.0,0.00223,0.0
LD-52,0.5407,0.0,3.34645,44.98677000000001,0.00617,0.0,0.0,22.04407000000001,0.00841,27.073069999999998,0.0,0.00037999999999999997,0.0,1.9939200000000001,0.0
LD-53,0.0,0.0,0.12617,19.509930000000004,0.0,0.0,0.0,66.25687000000002,2.27826,11.828769999999999,0.0,0.0,0.0,0.0,0.0
LD-54,0.0,0.0,0.048620000000000003,23.331169999999997,0.0,0.0,0.0,74.33804000000005,0.35742,1.7629800000000009,0.0,0.0,0.0,0.1618,0.0
LD-55,0.0,0.0,0.84297,37.6284,0.0,0.0,0.0,60.46871999999999,0.01182,0.54898,0.0,0.0,0.11163,0.38745999999999997,0.0
LD-56,0.0,0.0,0.36576000000000003,74.37371999999999,0.0,0.0,0.0,21.082510000000003,0.8255600000000001,3.35241,0.0,0.0,0.0,0.0,0.0
LD-57,0.0,0.0,0.41013999999999995,16.651229999999998,0.0,0.0,0.0,76.50147000000001,0.42869,6.008470000000001,0.0,0.0,0.0,0.0,0.0
LD-58,0.0,0.0,0.14705000000000001,64.27356999999999,0.0,0.0,0.0,34.24147,0.012159999999999999,1.3257700000000001,0.0,0.0,0.0,0.0,0.0
LD-59,0.0,0.0,0.15033000000000002,73.51554000000002,0.0,0.0,0.0,24.58552,0.00402,1.6502999999999999,0.0,0.09425,0.0,0.0,0.0
LD-5,0.0,0.0,2.3118499999999997,20.489520000000002,0.0,0.0,0.0,76.39076999999999,0.05642,0.75139,0.0,0.0,0.0,0.0,0.0
LD-60,0.0026,0.0,0.057109999999999994,56.251189999999994,0.0,0.0,0.0,38.00345000000001,0.48515,5.20047,0.0,0.0,0.0,0.0,0.0
